"TAZID","CityIdx","CITY_UGRC"
1,82,"[Unincorporated]"
2,82,"[Unincorporated]"
3,82,"[Unincorporated]"
4,82,"[Unincorporated]"
5,82,"[Unincorporated]"
6,82,"[Unincorporated]"
7,82,"[Unincorporated]"
8,82,"[Unincorporated]"
9,82,"[Unincorporated]"
10,82,"[Unincorporated]"
11,82,"[Unincorporated]"
12,82,"[Unincorporated]"
13,82,"[Unincorporated]"
14,82,"[Unincorporated]"
15,6,"BGM"
16,6,"BGM"
17,6,"BGM"
18,6,"BGM"
19,6,"BGM"
20,6,"BGM"
21,6,"BGM"
22,6,"BGM"
23,6,"BGM"
24,6,"BGM"
25,6,"BGM"
26,6,"BGM"
27,6,"BGM"
28,6,"BGM"
29,6,"BGM"
30,6,"BGM"
31,6,"BGM"
32,6,"BGM"
33,6,"BGM"
34,6,"BGM"
35,6,"BGM"
36,6,"BGM"
37,6,"BGM"
38,6,"BGM"
39,6,"BGM"
40,6,"BGM"
41,6,"BGM"
42,6,"BGM"
43,6,"BGM"
44,6,"BGM"
45,6,"BGM"
46,6,"BGM"
47,6,"BGM"
48,6,"BGM"
49,6,"BGM"
50,6,"BGM"
51,6,"BGM"
52,6,"BGM"
53,6,"BGM"
54,6,"BGM"
55,6,"BGM"
56,6,"BGM"
57,6,"BGM"
58,6,"BGM"
59,6,"BGM"
60,6,"BGM"
61,6,"BGM"
62,6,"BGM"
63,6,"BGM"
64,6,"BGM"
65,6,"BGM"
66,6,"BGM"
67,6,"BGM"
68,6,"BGM"
69,6,"BGM"
70,6,"BGM"
71,6,"BGM"
72,6,"BGM"
73,82,"[Unincorporated]"
74,6,"BGM"
75,6,"BGM"
76,6,"BGM"
77,6,"BGM"
78,6,"BGM"
79,6,"BGM"
80,6,"BGM"
81,6,"BGM"
82,6,"BGM"
83,6,"BGM"
84,6,"BGM"
85,6,"BGM"
86,48,"PER"
87,48,"PER"
88,48,"PER"
89,48,"PER"
90,48,"PER"
91,48,"PER"
92,48,"PER"
93,48,"PER"
94,48,"PER"
95,48,"PER"
96,48,"PER"
97,48,"PER"
98,48,"PER"
99,48,"PER"
100,48,"PER"
101,48,"PER"
102,48,"PER"
103,48,"PER"
104,48,"PER"
105,48,"PER"
106,48,"PER"
107,48,"PER"
108,48,"PER"
109,76,"WIL"
110,76,"WIL"
111,76,"WIL"
112,76,"WIL"
113,76,"WIL"
114,76,"WIL"
115,76,"WIL"
116,76,"WIL"
117,76,"WIL"
118,76,"WIL"
119,76,"WIL"
120,76,"WIL"
121,76,"WIL"
122,76,"WIL"
123,76,"WIL"
124,76,"WIL"
125,76,"WIL"
126,76,"WIL"
127,76,"WIL"
128,76,"WIL"
129,76,"WIL"
130,76,"WIL"
131,76,"WIL"
132,82,"[Unincorporated]"
133,82,"[Unincorporated]"
134,82,"[Unincorporated]"
135,82,"[Unincorporated]"
136,82,"[Unincorporated]"
137,82,"[Unincorporated]"
138,82,"[Unincorporated]"
139,82,"[Unincorporated]"
140,82,"[Unincorporated]"
141,82,"[Unincorporated]"
142,82,"[Unincorporated]"
143,82,"[Unincorporated]"
144,82,"[Unincorporated]"
145,82,"[Unincorporated]"
146,82,"[Unincorporated]"
147,82,"[Unincorporated]"
148,82,"[Unincorporated]"
149,82,"[Unincorporated]"
150,37,"MAU"
151,82,"[Unincorporated]"
152,82,"[Unincorporated]"
153,82,"[Unincorporated]"
154,82,"[Unincorporated]"
155,82,"[Unincorporated]"
156,82,"[Unincorporated]"
157,82,"[Unincorporated]"
158,82,"[Unincorporated]"
159,82,"[Unincorporated]"
160,82,"[Unincorporated]"
161,82,"[Unincorporated]"
162,82,"[Unincorporated]"
163,82,"[Unincorporated]"
164,82,"[Unincorporated]"
165,82,"[Unincorporated]"
166,82,"[Unincorporated]"
167,82,"[Unincorporated]"
168,82,"[Unincorporated]"
169,82,"[Unincorporated]"
170,82,"[Unincorporated]"
171,82,"[Unincorporated]"
172,82,"[Unincorporated]"
173,82,"[Unincorporated]"
174,82,"[Unincorporated]"
175,82,"[Unincorporated]"
176,82,"[Unincorporated]"
177,82,"[Unincorporated]"
178,82,"[Unincorporated]"
179,82,"[Unincorporated]"
180,82,"[Unincorporated]"
181,82,"[Unincorporated]"
182,82,"[Unincorporated]"
183,82,"[Unincorporated]"
184,82,"[Unincorporated]"
185,82,"[Unincorporated]"
186,82,"[Unincorporated]"
187,82,"[Unincorporated]"
188,82,"[Unincorporated]"
189,82,"[Unincorporated]"
190,82,"[Unincorporated]"
191,82,"[Unincorporated]"
192,82,"[Unincorporated]"
193,82,"[Unincorporated]"
194,82,"[Unincorporated]"
195,82,"[Unincorporated]"
196,82,"[Unincorporated]"
197,82,"[Unincorporated]"
198,82,"[Unincorporated]"
199,50,"PLN"
200,50,"PLN"
201,50,"PLN"
202,50,"PLN"
203,50,"PLN"
204,50,"PLN"
205,50,"PLN"
206,50,"PLN"
207,50,"PLN"
208,50,"PLN"
209,50,"PLN"
210,50,"PLN"
211,50,"PLN"
212,50,"PLN"
213,50,"PLN"
214,50,"PLN"
215,50,"PLN"
216,50,"PLN"
217,50,"PLN"
218,50,"PLN"
219,50,"PLN"
220,50,"PLN"
221,50,"PLN"
222,50,"PLN"
223,50,"PLN"
224,22,"FRR"
225,22,"FRR"
226,22,"FRR"
227,22,"FRR"
228,22,"FRR"
229,22,"FRR"
230,22,"FRR"
231,22,"FRR"
232,22,"FRR"
233,22,"FRR"
234,22,"FRR"
235,22,"FRR"
236,22,"FRR"
237,22,"FRR"
238,22,"FRR"
239,52,"PVW"
240,52,"PVW"
241,52,"PVW"
242,52,"PVW"
243,52,"PVW"
244,52,"PVW"
245,52,"PVW"
246,52,"PVW"
247,52,"PVW"
248,52,"PVW"
249,52,"PVW"
250,52,"PVW"
251,52,"PVW"
252,52,"PVW"
253,52,"PVW"
254,52,"PVW"
255,52,"PVW"
256,52,"PVW"
257,52,"PVW"
258,52,"PVW"
259,52,"PVW"
260,43,"NOG"
261,43,"NOG"
262,43,"NOG"
263,43,"NOG"
264,43,"NOG"
265,43,"NOG"
266,43,"NOG"
267,43,"NOG"
268,43,"NOG"
269,43,"NOG"
270,43,"NOG"
271,43,"NOG"
272,43,"NOG"
273,43,"NOG"
274,43,"NOG"
275,43,"NOG"
276,43,"NOG"
277,43,"NOG"
278,43,"NOG"
279,43,"NOG"
280,43,"NOG"
281,43,"NOG"
282,43,"NOG"
283,43,"NOG"
284,43,"NOG"
285,43,"NOG"
286,43,"NOG"
287,43,"NOG"
288,26,"HAR"
289,26,"HAR"
290,26,"HAR"
291,26,"HAR"
292,26,"HAR"
293,26,"HAR"
294,26,"HAR"
295,41,"MSL"
296,41,"MSL"
297,41,"MSL"
298,41,"MSL"
299,41,"MSL"
300,41,"MSL"
301,41,"MSL"
302,41,"MSL"
303,41,"MSL"
304,41,"MSL"
305,41,"MSL"
306,41,"MSL"
307,41,"MSL"
308,41,"MSL"
309,41,"MSL"
310,41,"MSL"
311,41,"MSL"
312,45,"OGD"
313,45,"OGD"
314,45,"OGD"
315,45,"OGD"
316,45,"OGD"
317,45,"OGD"
318,45,"OGD"
319,45,"OGD"
320,45,"OGD"
321,45,"OGD"
322,45,"OGD"
323,45,"OGD"
324,45,"OGD"
325,45,"OGD"
326,45,"OGD"
327,45,"OGD"
328,45,"OGD"
329,45,"OGD"
330,45,"OGD"
331,45,"OGD"
332,45,"OGD"
333,45,"OGD"
334,45,"OGD"
335,45,"OGD"
336,45,"OGD"
337,45,"OGD"
338,45,"OGD"
339,45,"OGD"
340,45,"OGD"
341,45,"OGD"
342,45,"OGD"
343,45,"OGD"
344,45,"OGD"
345,45,"OGD"
346,45,"OGD"
347,45,"OGD"
348,45,"OGD"
349,45,"OGD"
350,45,"OGD"
351,45,"OGD"
352,45,"OGD"
353,45,"OGD"
354,45,"OGD"
355,45,"OGD"
356,45,"OGD"
357,45,"OGD"
358,45,"OGD"
359,45,"OGD"
360,45,"OGD"
361,45,"OGD"
362,45,"OGD"
363,45,"OGD"
364,45,"OGD"
365,45,"OGD"
366,45,"OGD"
367,45,"OGD"
368,45,"OGD"
369,45,"OGD"
370,45,"OGD"
371,45,"OGD"
372,45,"OGD"
373,45,"OGD"
374,45,"OGD"
375,45,"OGD"
376,45,"OGD"
377,45,"OGD"
378,45,"OGD"
379,45,"OGD"
380,45,"OGD"
381,45,"OGD"
382,45,"OGD"
383,45,"OGD"
384,45,"OGD"
385,45,"OGD"
386,45,"OGD"
