SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS,scenario_id
1,pk,HBW,Walk,22658,Closer04
1,pk,HBC,Walk,26873,Closer04
1,pk,HBO,Walk,154345,Closer04
1,pk,NHB,Walk,56088,Closer04
1,pk,HBSch,Walk,69291,Closer04
1,pk,HBW,Bike,12640,Closer04
1,pk,HBC,Bike,2180,Closer04
1,pk,HBO,Bike,19426,Closer04
1,pk,NHB,Bike,5907,Closer04
1,pk,HBSch,Bike,9370,Closer04
1,pk,HBW,Auto,897944,Closer04
1,pk,HBC,Auto,79594,Closer04
1,pk,HBO,Auto,1898035,Closer04
1,pk,NHB,Auto,868438,Closer04
1,pk,HBSch,Auto,312819,Closer04
1,pk,HBW,RegAuto,897766,Closer04
1,pk,HBC,RegAuto,79594,Closer04
1,pk,HBO,RegAuto,1897182,Closer04
1,pk,NHB,RegAuto,868131,Closer04
1,pk,HBSch,RegAuto,312819,Closer04
1,pk,HBW,IMZD2D,178,Closer04
1,pk,HBC,IMZD2D,0,Closer04
1,pk,HBO,IMZD2D,853,Closer04
1,pk,NHB,IMZD2D,307,Closer04
1,pk,HBSch,IMZD2D,0,Closer04
1,pk,HBW,SchoolBus,0,Closer04
1,pk,HBC,SchoolBus,0,Closer04
1,pk,HBO,SchoolBus,0,Closer04
1,pk,NHB,SchoolBus,0,Closer04
1,pk,HBSch,SchoolBus,51271,Closer04
1,pk,HBW,LCL,8830,Closer04
1,pk,HBC,LCL,8719,Closer04
1,pk,HBO,LCL,4147,Closer04
1,pk,NHB,LCL,730,Closer04
1,pk,HBSch,LCL,0,Closer04
1,pk,HBW,COR,976,Closer04
1,pk,HBC,COR,179,Closer04
1,pk,HBO,COR,529,Closer04
1,pk,NHB,COR,72,Closer04
1,pk,HBSch,COR,0,Closer04
1,pk,HBW,BRT,1284,Closer04
1,pk,HBC,BRT,4960,Closer04
1,pk,HBO,BRT,746,Closer04
1,pk,NHB,BRT,219,Closer04
1,pk,HBSch,BRT,0,Closer04
1,pk,HBW,EXP,437,Closer04
1,pk,HBC,EXP,109,Closer04
1,pk,HBO,EXP,44,Closer04
1,pk,NHB,EXP,15,Closer04
1,pk,HBSch,EXP,0,Closer04
1,pk,HBW,LRT,8207,Closer04
1,pk,HBC,LRT,4881,Closer04
1,pk,HBO,LRT,5006,Closer04
1,pk,NHB,LRT,770,Closer04
1,pk,HBSch,LRT,0,Closer04
1,pk,HBW,CRT,4066,Closer04
1,pk,HBC,CRT,4086,Closer04
1,pk,HBO,CRT,1099,Closer04
1,pk,NHB,CRT,222,Closer04
1,pk,HBSch,CRT,0,Closer04
1,ok,HBW,Walk,32738,Closer04
1,ok,HBC,Walk,0,Closer04
1,ok,HBO,Walk,297750,Closer04
1,ok,NHB,Walk,141383,Closer04
1,ok,HBSch,Walk,38855,Closer04
1,ok,HBW,Bike,8755,Closer04
1,ok,HBC,Bike,0,Closer04
1,ok,HBO,Bike,40683,Closer04
1,ok,NHB,Bike,12991,Closer04
1,ok,HBSch,Bike,5205,Closer04
1,ok,HBW,Auto,837237,Closer04
1,ok,HBC,Auto,0,Closer04
1,ok,HBO,Auto,3738314,Closer04
1,ok,NHB,Auto,1733073,Closer04
1,ok,HBSch,Auto,175711,Closer04
1,ok,HBW,RegAuto,837111,Closer04
1,ok,HBC,RegAuto,0,Closer04
1,ok,HBO,RegAuto,3737016,Closer04
1,ok,NHB,RegAuto,1732598,Closer04
1,ok,HBSch,RegAuto,175711,Closer04
1,ok,HBW,IMZD2D,126,Closer04
1,ok,HBC,IMZD2D,0,Closer04
1,ok,HBO,IMZD2D,1298,Closer04
1,ok,NHB,IMZD2D,475,Closer04
1,ok,HBSch,IMZD2D,0,Closer04
1,ok,HBW,SchoolBus,0,Closer04
1,ok,HBC,SchoolBus,0,Closer04
1,ok,HBO,SchoolBus,0,Closer04
1,ok,NHB,SchoolBus,0,Closer04
1,ok,HBSch,SchoolBus,28613,Closer04
1,ok,HBW,LCL,6964,Closer04
1,ok,HBC,LCL,0,Closer04
1,ok,HBO,LCL,11499,Closer04
1,ok,NHB,LCL,1825,Closer04
1,ok,HBSch,LCL,0,Closer04
1,ok,HBW,COR,734,Closer04
1,ok,HBC,COR,0,Closer04
1,ok,HBO,COR,1302,Closer04
1,ok,NHB,COR,186,Closer04
1,ok,HBSch,COR,0,Closer04
1,ok,HBW,BRT,644,Closer04
1,ok,HBC,BRT,0,Closer04
1,ok,HBO,BRT,1788,Closer04
1,ok,NHB,BRT,920,Closer04
1,ok,HBSch,BRT,0,Closer04
1,ok,HBW,EXP,0,Closer04
1,ok,HBC,EXP,0,Closer04
1,ok,HBO,EXP,0,Closer04
1,ok,NHB,EXP,0,Closer04
1,ok,HBSch,EXP,0,Closer04
1,ok,HBW,LRT,7092,Closer04
1,ok,HBC,LRT,0,Closer04
1,ok,HBO,LRT,10698,Closer04
1,ok,NHB,LRT,2176,Closer04
1,ok,HBSch,LRT,0,Closer04
1,ok,HBW,CRT,2251,Closer04
1,ok,HBC,CRT,0,Closer04
1,ok,HBO,CRT,2370,Closer04
1,ok,NHB,CRT,304,Closer04
1,ok,HBSch,CRT,0,Closer04
