Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,158.27,158.27,22.34,135.93,22.32,135.95,Closer04
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,125.5,125.5,10.19,115.31,10.2,115.3,Closer04
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,556.05,556.09,14.64,541.41,14.66,541.43,Closer04
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,29.48,29.48,0.9,28.58,0.91,28.57,Closer04
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,189.18,189.18,11.3,177.88,11.29,177.89,Closer04
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,56.18,56.14,1.08,55.1,1.06,55.08,Closer04
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1038.18,1038.14,111.16,927.02,111.15,926.99,Closer04
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,652.72,652.64,109.83,542.89,109.85,542.79,Closer04
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,61.23,61.24,3.29,57.94,3.28,57.96,Closer04
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,65.12,65.04,9.38,55.74,9.35,55.69,Closer04
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,705.56,705.64,47.95,657.61,48.02,657.62,Closer04
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.11,10.11,0.23,9.88,0.24,9.87,Closer04
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,41.04,41.06,9.0,32.04,9.01,32.05,Closer04
