;TAZID,TOTHH,HHPOP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,39,0,0,0,0,0,0,0,0,0,0,2,1
3,22,65,0,0,0,0,0,0,0,0,0,0,2,1
4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
5,58,192,0,0,0,0,0,0,2,0,0,0,7,3
6,3,9,0,0,0,8,0,0,0,0,0,0,1,0
7,35.99999997,105.9999999,1.999999998,0,0,26.99999998,0,0,0,5.999999995,214.9999998,0,5.999999995,2.999999998
8,45,150,17,0,0,0,36,0,0,2,0,0,6,3
9,14,40,0,0,0,90,0,0,0,0,0,0,2,1
10,20,59,0,0,0,93,0,0,0,0,0,0,3,1
11,7,23,0,0,0,0,0,0,0,0,0,0,0,0
12,16,50,0,0,0,0,0,0,0,0,0,0,2,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,3,0,0,109,146,0,0,0,9,49,0,4,0
16,1,3,0,0,2,74,0,0,0,21,0,0,2,0
17,3,10,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,467,216,0,0,0,0,0,0,10,0
19,222,733,15,0,0,10,0,0,0,0,0,0,20,10
20,150,378,12,0,0,2,0,0,0,23,0,0,18,9
21,0,0,0,0,385,39,0,0,0,0,0,0,7,0
22,2,6,0,0,9,0,0,0,0,0,0,0,0,0
23,3,10,0,0,20,27,0,0,0,0,0,0,1,0
24,131,433,0,0,0,0,0,0,1,0,0,0,11,5
25,298,985,5,0,0,2,0,102,12,4,0,0,38,18
26,201,564,17,0,13,19,0,46,62,19,0,0,26,11
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,3,0,0,78,0,0,0,0,0,0,0,2,0
29,229,725,0,0,0,2,0,0,0,0,0,0,18,9
30,286,660,13,0,0,8,41,0,27,9,0,0,40,19
31,217,523,5,66,73,0,39,0,0,36,0,0,27,12
32,111,311,0,0,0,2,0,0,0,0,0,0,13,7
33,161,388,0,0,0,14,0,0,0,0,0,0,17,8
34,198,555,2,0,14,0,5,0,0,0,0,0,22,11
35,277,717,0,0,0,0,0,0,0,0,0,0,32,16
36,77,194,0,0,0,0,0,0,0,0,0,0,10,5
37,0,0,0,0,0,0,0,0,0,4,0,0,0,0
38,0,0,0,0,1426,0,0,21,3,0,0,0,24,0
39,59,187,17,0,0,0,0,0,3,109,0,0,10,3
40,288,665,37,0,0,21,58,79,24,53,0,0,48,21
41,107,247,211,0,0,0,0,0,22,102,0,0,20,7
42,64,149,0,0,0,0,3,0,0,72,0,0,9,4
43,190,493,0,0,0,2,0,38,37,0,0,0,24,11
44,98,296,0,0,0,0,0,0,0,0,0,0,15,7
45,89,267,0,0,0,0,36,0,0,0,0,0,7,3
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,6,0,0,0,0,0,0,0,0,0,0,0,0
48,8,26,0,0,0,0,0,0,0,0,0,0,1,0
49,0,0,74,29,0,0,0,0,0,0,0,0,2,0
50,3,10,0,0,12,41,33,94,43,4,0,0,5,0
51,5,14,0,0,11,39,16,0,11,0,0,0,2,0
52,50,112,0,0,169,0,0,0,22,1495,0,0,43,3
53,238,536,284,48,6,64,63,332,53,456,0,0,52,13
54,138,428,12,53,18,0,91,215,64,168,0,0,32,10
55,162,500,0,0,1,0,3,195,0,15,0,0,24,9
56,38,114,0,0,0,0,0,0,0,0,0,0,4,2
57,51,153,0,0,0,0,0,0,0,0,0,0,9,4
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,253,872,0,0,0,0,0,0,0,0,0,0,25,12
62,200,687,2,0,0,0,0,0,0,13,0,0,24,11
63,19,52,0,0,0,0,0,199,0,0,0,0,6,1
64,219,752,0,91,0,0,0,0,0,21,0,0,27,12
65,270,743,42,0,0,0,0,5,1,23,0,0,34,16
66,135,290,52,26,0,0,0,0,7,38,0,0,22,10
67,134,414,84,0,0,0,3,0,1,38,0,0,20,9
68,168,518,0,0,0,0,0,0,17,17,0,0,22,11
69,29,88,0,0,0,0,0,0,0,21,0,0,4,1
70,101,218,0,0,0,0,8,0,0,15,0,0,11,5
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
