Purpose,TAZID,All,Walk,Bike,NonM
All,1.0,0.0,0.0,0.0,0.0
HBW,1.0,0.0,0.0,0.0,0.0
HBO,1.0,0.0,0.0,0.0,0.0
NHB,1.0,0.0,0.0,0.0,0.0
HBC,1.0,0.0,0.0,0.0,0.0
HBSch,1.0,0.0,0.0,0.0,0.0
All,2.0,165.38,5.06,0.62,5.68
HBW,2.0,22.51,0.0,0.04,0.04
HBO,2.0,114.68,4.96,0.56,5.52
NHB,2.0,5.84,0.1,0.01,0.11
HBC,2.0,0.0,0.0,0.0,0.0
HBSch,2.0,22.35,0.0,0.0,0.0
All,3.0,150.66,4.37,0.7,5.07
HBW,3.0,20.95,0.02,0.06,0.08
HBO,3.0,104.29,4.25,0.62,4.88
NHB,3.0,6.38,0.09,0.01,0.11
HBC,3.0,0.0,0.0,0.0,0.0
HBSch,3.0,19.04,0.0,0.0,0.0
All,4.0,24.51,0.49,0.08,0.57
HBW,4.0,3.5,0.0,0.01,0.01
HBO,4.0,17.03,0.48,0.07,0.55
NHB,4.0,0.86,0.01,0.0,0.01
HBC,4.0,0.0,0.0,0.0,0.0
HBSch,4.0,3.13,0.0,0.0,0.0
All,5.0,442.13,14.49,3.04,17.52
HBW,5.0,79.34,0.29,0.52,0.81
HBO,5.0,284.08,13.73,2.43,16.16
NHB,5.0,30.72,0.46,0.09,0.55
HBC,5.0,7.0,0.0,0.0,0.0
HBSch,5.0,40.98,0.0,0.0,0.0
All,6.0,34.85,0.84,0.19,1.04
HBW,6.0,5.32,0.03,0.02,0.05
HBO,6.0,22.57,0.78,0.16,0.94
NHB,6.0,3.09,0.04,0.01,0.05
HBC,6.0,0.0,0.0,0.0,0.0
HBSch,6.0,3.89,0.0,0.0,0.0
All,7.0,382.44,19.92,2.69,22.61
HBW,7.0,63.65,2.39,0.63,3.02
HBO,7.0,233.38,16.34,1.93,18.27
NHB,7.0,52.59,1.19,0.13,1.32
HBC,7.0,0.0,0.0,0.0,0.0
HBSch,7.0,32.82,0.0,0.0,0.0
All,8.0,521.94,9.98,4.52,14.5
HBW,8.0,68.83,0.51,0.66,1.17
HBO,8.0,270.2,8.45,3.47,11.92
NHB,8.0,83.31,1.01,0.39,1.41
HBC,8.0,57.0,0.0,0.0,0.0
HBSch,8.0,42.61,0.0,0.0,0.0
All,9.0,34.66,0.79,0.16,0.95
HBW,9.0,1.57,0.04,0.01,0.05
HBO,9.0,6.02,0.4,0.07,0.47
NHB,9.0,26.64,0.35,0.07,0.43
HBC,9.0,0.0,0.0,0.0,0.0
HBSch,9.0,0.43,0.0,0.0,0.0
All,10.0,181.01,4.02,1.31,5.33
HBW,10.0,25.5,0.38,0.21,0.59
HBO,10.0,106.65,3.38,1.0,4.37
NHB,10.0,31.26,0.26,0.1,0.36
HBC,10.0,0.0,0.0,0.0,0.0
HBSch,10.0,17.6,0.0,0.0,0.0
All,11.0,22.98,0.11,0.13,0.24
HBW,11.0,4.34,0.0,0.02,0.02
HBO,11.0,15.23,0.11,0.11,0.21
NHB,11.0,0.99,0.0,0.0,0.0
HBC,11.0,0.0,0.0,0.0,0.0
HBSch,11.0,2.42,0.0,0.0,0.0
All,12.0,125.5,2.55,1.0,3.56
HBW,12.0,20.78,0.01,0.14,0.15
HBO,12.0,83.56,2.51,0.84,3.35
NHB,12.0,6.6,0.03,0.03,0.06
HBC,12.0,0.0,0.0,0.0,0.0
HBSch,12.0,14.56,0.0,0.0,0.0
All,13.0,0.0,0.0,0.0,0.0
HBW,13.0,0.0,0.0,0.0,0.0
HBO,13.0,0.0,0.0,0.0,0.0
NHB,13.0,0.0,0.0,0.0,0.0
HBC,13.0,0.0,0.0,0.0,0.0
HBSch,13.0,0.0,0.0,0.0,0.0
All,14.0,0.0,0.0,0.0,0.0
HBW,14.0,0.0,0.0,0.0,0.0
HBO,14.0,0.0,0.0,0.0,0.0
NHB,14.0,0.0,0.0,0.0,0.0
HBC,14.0,0.0,0.0,0.0,0.0
HBSch,14.0,0.0,0.0,0.0,0.0
All,15.0,67.56,0.28,0.21,0.5
HBW,15.0,1.63,0.02,0.02,0.04
HBO,15.0,4.45,0.04,0.03,0.07
NHB,15.0,60.72,0.23,0.16,0.39
HBC,15.0,0.0,0.0,0.0,0.0
HBSch,15.0,0.76,0.0,0.0,0.0
All,16.0,33.55,0.51,0.23,0.74
HBW,16.0,1.63,0.04,0.02,0.06
HBO,16.0,4.84,0.13,0.07,0.2
NHB,16.0,26.3,0.34,0.14,0.48
HBC,16.0,0.0,0.0,0.0,0.0
HBSch,16.0,0.78,0.0,0.0,0.0
All,17.0,54.53,0.67,0.45,1.12
HBW,17.0,7.04,0.04,0.06,0.1
HBO,17.0,37.97,0.61,0.39,1.0
NHB,17.0,1.79,0.01,0.01,0.02
HBC,17.0,0.0,0.0,0.0,0.0
HBSch,17.0,7.74,0.0,0.0,0.0
All,18.0,133.36,3.04,0.64,3.68
HBW,18.0,0.0,0.0,0.0,0.0
HBO,18.0,0.0,0.0,0.0,0.0
NHB,18.0,133.36,3.04,0.64,3.68
HBC,18.0,0.0,0.0,0.0,0.0
HBSch,18.0,0.0,0.0,0.0,0.0
All,19.0,1666.17,92.68,21.56,190.12
HBW,19.0,272.35,3.84,3.86,7.7
HBO,19.0,1084.45,83.26,16.66,99.92
NHB,19.0,144.27,4.82,0.83,5.65
HBC,19.0,0.0,0.0,0.0,0.0
HBSch,19.0,165.09,0.77,0.21,76.86
All,20.0,1078.1,72.8,14.53,119.28
HBW,20.0,205.63,3.87,2.97,6.84
HBO,20.0,674.2,62.99,10.72,73.71
NHB,20.0,128.65,5.62,0.75,6.37
HBC,20.0,0.0,0.0,0.0,0.0
HBSch,20.0,69.61,0.32,0.09,32.37
All,21.0,75.74,1.91,0.41,2.32
HBW,21.0,0.0,0.0,0.0,0.0
HBO,21.0,0.0,0.0,0.0,0.0
NHB,21.0,75.74,1.91,0.41,2.32
HBC,21.0,0.0,0.0,0.0,0.0
HBSch,21.0,0.0,0.0,0.0,0.0
All,22.0,17.13,0.59,0.21,0.8
HBW,22.0,2.6,0.08,0.03,0.11
HBO,22.0,10.64,0.45,0.16,0.61
NHB,22.0,2.28,0.07,0.02,0.08
HBC,22.0,0.0,0.0,0.0,0.0
HBSch,22.0,1.61,0.0,0.0,0.0
All,23.0,57.42,2.91,0.68,7.93
HBW,23.0,6.38,0.18,0.09,0.27
HBO,23.0,34.2,2.3,0.5,2.8
NHB,23.0,11.55,0.38,0.07,0.45
HBC,23.0,0.0,0.0,0.0,0.0
HBSch,23.0,5.28,0.04,0.01,4.4
All,24.0,1036.19,82.94,14.28,196.57
HBW,24.0,161.55,4.08,2.57,6.65
HBO,24.0,713.53,75.2,11.09,86.29
NHB,24.0,52.6,2.65,0.33,2.98
HBC,24.0,3.0,0.0,0.0,0.0
HBSch,24.0,105.51,1.0,0.3,100.65
All,25.0,2438.01,244.72,35.25,440.91
HBW,25.0,443.28,20.61,7.91,28.52
HBO,25.0,1559.88,206.02,25.31,231.33
NHB,25.0,256.77,16.47,1.54,18.01
HBC,25.0,7.0,0.0,0.0,0.0
HBSch,25.0,171.09,1.63,0.48,163.05
All,26.0,1096.84,122.51,16.95,169.43
HBW,26.0,209.04,12.9,4.18,17.08
HBO,26.0,603.73,92.08,11.25,103.33
NHB,26.0,241.1,17.22,1.44,18.66
HBC,26.0,2.0,0.0,0.0,0.0
HBSch,26.0,40.97,0.3,0.09,30.36
All,27.0,0.0,0.0,0.0,0.0
HBW,27.0,0.0,0.0,0.0,0.0
HBO,27.0,0.0,0.0,0.0,0.0
NHB,27.0,0.0,0.0,0.0,0.0
HBC,27.0,0.0,0.0,0.0,0.0
HBSch,27.0,0.0,0.0,0.0,0.0
All,28.0,31.55,1.68,0.36,2.34
HBW,28.0,4.23,0.2,0.06,0.26
HBO,28.0,11.33,0.91,0.2,1.1
NHB,28.0,14.99,0.57,0.1,0.67
