DISTMED,TOTHH
1,0.0
1,11.6
1,12.5
1,2.9
1,50.1
1,3.9
1,43.3
1,41.4
1,10.6
1,16.4
2,2.9
2,12.5
2,0.0
3,0.0
1,1.0
1,1.0
2,3.9
3,0.0
1,154.0
3,133.8
3,0.0
3,1.9
3,3.9
3,86.6
3,280.1
3,180.0
3,0.0
3,3.9
3,136.7
3,304.2
3,186.8
3,103.0
3,130.9
3,170.4
3,252.2
3,79.9
3,1.0
3,1.0
3,53.9
3,333.1
3,105.9
3,56.8
3,168.5
3,112.6
3,47.2
3,0.0
2,0.0
2,3.9
3,0.0
3,2.9
3,4.8
3,45.2
3,204.1
3,157.9
3,148.2
3,28.9
3,68.3
3,0.0
3,0.0
3,0.0
3,188.7
3,179.1
3,17.3
3,196.4
3,258.0
3,159.8
3,134.8
3,171.3
3,24.1
3,82.8
3,0.0
3,72.2
5,3.9
3,0.0
3,116.5
3,71.2
3,123.2
3,412.0
3,57.8
3,143.4
3,70.3
3,370.6
3,0.0
3,0.0
3,37.5
2,0.0
3,0.0
3,0.0
3,29.8
3,45.2
3,182.9
3,169.4
3,0.0
3,21.2
3,229.1
3,265.7
2,0.0
2,0.0
3,0.0
3,18.3
3,387.9
3,0.0
3,180.0
3,56.8
3,27.9
3,10.6
4,0.0
4,7.7
2,0.0
4,1.0
4,0.0
4,2.9
4,22.1
4,33.7
4,0.0
4,0.0
4,20.2
4,2.9
2,1.0
4,21.2
4,38.5
4,11.6
2,0.0
4,69.3
4,60.6
4,171.3
4,91.5
4,49.1
4,10.6
4,61.6
4,55.8
4,28.9
4,141.5
4,3.9
4,1.9
4,142.5
4,1.0
4,139.6
4,34.7
4,3.9
4,0.0
4,0.0
4,55.8
2,0.0
5,11.6
5,0.0
5,1.0
5,0.0
5,0.0
5,331.1
5,18.3
6,0.0
6,0.0
7,0.0
9,282.1
8,397.3
9,633.6
9,511.1
8,221.5
8,580.4
9,95.8
9,327.2
9,38.1
9,74.5
8,0.0
9,283.1
9,61.1
9,80.9
9,72.0
8,160.2
8,218.9
9,253.8
9,342.2
9,87.8
9,68.3
9,403.5
8,706.5
8,307.6
8,214.0
11,44.5
11,139.4
11,313.3
11,153.0
11,339.2
11,203.8
11,555.4
8,94.3
8,190.8
11,146.7
11,148.3
11,166.6
11,159.4
11,188.6
8,0.0
11,150.6
11,164.5
11,188.7
11,130.3
9,198.1
9,331.5
9,180.0
9,261.3
9,211.2
9,179.7
9,255.9
9,132.2
9,259.4
9,122.4
9,202.5
9,219.2
9,92.9
9,138.8
9,333.7
9,426.4
9,233.7
9,84.5
9,167.2
9,258.3
9,136.0
9,261.4
9,387.3
9,210.9
9,95.7
9,651.6
9,32.3
9,347.1
9,185.3
9,306.1
9,194.5
10,0.0
10,17.2
9,140.0
9,76.5
10,244.1
9,277.9
10,335.1
10,51.7
9,476.7
10,37.0
10,22.4
10,45.7
10,33.9
10,146.0
10,0.0
10,308.9
10,189.7
10,526.4
10,110.0
10,335.0
10,307.2
10,100.7
10,211.2
10,710.8
10,445.5
10,319.9
10,113.2
10,493.8
10,63.3
10,168.3
10,1011.1
10,208.3
10,346.5
10,508.0
10,829.0
10,441.2
10,273.3
10,312.8
10,157.3
10,281.3
10,150.1
10,481.1
10,268.2
10,369.5
10,648.8
10,77.4
10,953.6
10,97.2
10,665.6
10,142.7
10,198.1
10,486.7
10,709.7
10,520.7
10,379.9
10,233.5
10,305.0
10,211.3
10,1095.1
10,70.6
10,124.4
10,596.2
10,192.6
10,392.9
10,333.1
9,25.4
9,24.3
9,81.2
9,82.4
9,81.7
10,5.4
10,28.4
9,168.7
9,78.1
10,135.7
9,2.0
9,36.1
9,187.5
9,402.6
10,269.2
9,606.4
12,59.1
10,440.8
10,740.7
10,648.0
10,0.0
10,1230.0
10,568.3
10,117.7
10,0.0
10,823.8
10,571.2
10,392.9
10,374.5
10,654.5
10,557.4
10,0.0
10,679.5
10,395.5
10,873.5
10,484.8
10,353.6
10,390.1
10,597.8
10,359.6
10,522.2
10,311.9
10,374.0
10,619.6
12,880.9
