Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,194.74,194.74,27.31,167.43,27.32,167.42,ShiftP10
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,156.62,156.62,12.41,144.21,12.42,144.2,ShiftP10
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,563.16,563.16,15.69,547.47,15.7,547.46,ShiftP10
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,34.96,34.96,1.04,33.92,1.03,33.93,ShiftP10
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,209.88,209.87,14.8,195.08,14.8,195.07,ShiftP10
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,59.14,59.14,1.27,57.87,1.25,57.89,ShiftP10
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1149.42,1149.32,119.93,1029.49,119.85,1029.47,ShiftP10
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,656.05,656.07,110.01,546.04,110.0,546.07,ShiftP10
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,74.42,74.43,4.81,69.61,4.81,69.62,ShiftP10
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,82.68,82.67,11.1,71.58,11.1,71.57,ShiftP10
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,806.66,806.65,62.82,743.84,62.82,743.83,ShiftP10
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.74,10.74,0.24,10.5,0.24,10.5,ShiftP10
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,47.09,47.11,11.2,35.89,11.19,35.92,ShiftP10
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,253.06,252.99,30.21,222.85,30.19,222.8,ShiftP10
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,693.46,693.42,237.09,456.37,237.09,456.33,ShiftP10
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,468.35,468.36,19.15,449.2,19.14,449.22,ShiftP10
