TAZID,CO_FIPS,CO_NAME,TOTHH
1,3,Box Elder,0.0
2,3,Box Elder,15.0
3,3,Box Elder,24.0
4,3,Box Elder,1.0
5,3,Box Elder,62.0
6,3,Box Elder,3.0
7,3,Box Elder,38.0
8,3,Box Elder,49.0
9,3,Box Elder,15.0
10,3,Box Elder,22.0
11,3,Box Elder,8.0
12,3,Box Elder,17.0
13,3,Box Elder,0.0
14,3,Box Elder,0.0
15,3,Box Elder,1.0
16,3,Box Elder,1.0
17,3,Box Elder,3.0
18,3,Box Elder,0.0
19,3,Box Elder,238.0
20,3,Box Elder,161.0
21,3,Box Elder,0.0
22,3,Box Elder,2.0
23,3,Box Elder,3.0
24,3,Box Elder,140.0
25,3,Box Elder,319.0
26,3,Box Elder,215.0
27,3,Box Elder,0.0
28,3,Box Elder,1.0
29,3,Box Elder,246.0
30,3,Box Elder,307.0
31,3,Box Elder,232.0
32,3,Box Elder,119.0
33,3,Box Elder,172.0
34,3,Box Elder,212.0
35,3,Box Elder,297.0
36,3,Box Elder,83.0
37,3,Box Elder,0.0
38,3,Box Elder,0.0
39,3,Box Elder,63.0
40,3,Box Elder,309.0
41,3,Box Elder,114.0
42,3,Box Elder,69.0
43,3,Box Elder,204.0
44,3,Box Elder,105.0
45,3,Box Elder,95.0
46,3,Box Elder,0.0
47,3,Box Elder,2.0
48,3,Box Elder,9.0
49,3,Box Elder,0.0
50,3,Box Elder,3.0
51,3,Box Elder,6.0
52,3,Box Elder,53.0
53,3,Box Elder,255.0
54,3,Box Elder,148.0
55,3,Box Elder,173.0
56,3,Box Elder,41.0
57,3,Box Elder,54.0
58,3,Box Elder,0.0
59,3,Box Elder,0.0
60,3,Box Elder,0.0
61,3,Box Elder,272.0
62,3,Box Elder,214.0
63,3,Box Elder,20.0
64,3,Box Elder,234.0
65,3,Box Elder,290.0
66,3,Box Elder,145.0
67,3,Box Elder,144.0
68,3,Box Elder,180.0
69,3,Box Elder,31.0
70,3,Box Elder,109.0
71,3,Box Elder,0.0
72,3,Box Elder,97.0
73,3,Box Elder,3.0
74,3,Box Elder,0.0
75,3,Box Elder,139.0
76,3,Box Elder,92.0
77,3,Box Elder,82.0
78,3,Box Elder,446.0
79,3,Box Elder,43.0
80,3,Box Elder,170.0
81,3,Box Elder,25.0
82,3,Box Elder,357.0
83,3,Box Elder,0.0
84,3,Box Elder,0.0
85,3,Box Elder,44.0
86,3,Box Elder,1.0
87,3,Box Elder,0.0
88,3,Box Elder,3.0
89,3,Box Elder,71.0
90,3,Box Elder,57.0
91,3,Box Elder,215.0
92,3,Box Elder,224.0
93,3,Box Elder,0.0
94,3,Box Elder,23.0
95,3,Box Elder,264.0
96,3,Box Elder,262.0
97,3,Box Elder,0.0
98,3,Box Elder,0.0
99,3,Box Elder,0.0
100,3,Box Elder,22.0
101,3,Box Elder,479.0
102,3,Box Elder,0.0
103,3,Box Elder,238.0
104,3,Box Elder,71.0
105,3,Box Elder,29.0
106,3,Box Elder,8.0
107,3,Box Elder,0.0
108,3,Box Elder,10.0
109,3,Box Elder,0.0
110,3,Box Elder,2.0
111,3,Box Elder,0.0
112,3,Box Elder,0.0
113,3,Box Elder,27.0
114,3,Box Elder,35.0
115,3,Box Elder,0.0
116,3,Box Elder,0.0
117,3,Box Elder,22.0
118,3,Box Elder,5.0
119,3,Box Elder,0.0
120,3,Box Elder,25.0
121,3,Box Elder,51.0
122,3,Box Elder,16.0
123,3,Box Elder,0.0
124,3,Box Elder,77.0
125,3,Box Elder,68.0
126,3,Box Elder,198.0
127,3,Box Elder,23.0
128,3,Box Elder,91.0
129,3,Box Elder,75.0
130,3,Box Elder,51.0
131,3,Box Elder,123.0
132,3,Box Elder,36.0
133,3,Box Elder,190.0
134,3,Box Elder,2.0
135,3,Box Elder,7.0
136,3,Box Elder,169.0
137,3,Box Elder,5.0
138,3,Box Elder,166.0
139,3,Box Elder,45.0
140,3,Box Elder,3.0
141,3,Box Elder,0.0
142,3,Box Elder,0.0
143,3,Box Elder,62.0
144,3,Box Elder,0.0
145,3,Box Elder,16.0
146,3,Box Elder,0.0
147,3,Box Elder,0.0
148,3,Box Elder,0.0
149,3,Box Elder,0.0
150,3,Box Elder,496.0
151,3,Box Elder,36.0
152,3,Box Elder,3.0
153,3,Box Elder,0.0
154,57,Weber,0.0
155,57,Weber,15.0
156,57,Weber,6.0
157,57,Weber,65.0
158,57,Weber,112.0
159,57,Weber,0.0
160,57,Weber,3.0
161,57,Weber,29.0
162,57,Weber,74.0
163,57,Weber,8.0
164,57,Weber,1.0
165,57,Weber,0.0
166,57,Weber,31.0
167,57,Weber,14.0
168,57,Weber,50.0
169,57,Weber,20.0
170,57,Weber,27.0
171,57,Weber,67.0
172,57,Weber,85.0
173,57,Weber,88.0
174,57,Weber,111.0
175,57,Weber,500.0
176,57,Weber,23.0
177,57,Weber,31.0
178,57,Weber,76.0
179,57,Weber,6.0
180,57,Weber,29.0
181,57,Weber,39.0
182,57,Weber,43.0
183,57,Weber,20.0
184,57,Weber,91.0
185,57,Weber,45.0
186,57,Weber,9.0
187,57,Weber,14.0
188,57,Weber,3.0
189,57,Weber,65.0
190,57,Weber,69.0
191,57,Weber,140.0
192,57,Weber,3.0
193,57,Weber,203.0
194,57,Weber,0.0
195,57,Weber,72.0
196,57,Weber,92.0
197,57,Weber,141.0
198,57,Weber,25.0
199,57,Weber,49.0
200,57,Weber,162.0
201,57,Weber,27.0
202,57,Weber,45.0
203,57,Weber,80.0
204,57,Weber,102.0
205,57,Weber,245.0
206,57,Weber,107.0
207,57,Weber,24.0
208,57,Weber,79.0
209,57,Weber,93.0
210,57,Weber,18.0
211,57,Weber,26.0
212,57,Weber,124.0
213,57,Weber,252.0
214,57,Weber,350.0
215,57,Weber,136.0
216,57,Weber,80.0
217,57,Weber,145.0
218,57,Weber,254.0
219,57,Weber,129.0
220,57,Weber,162.0
221,57,Weber,408.0
222,57,Weber,123.0
223,57,Weber,93.0
224,57,Weber,682.0
225,57,Weber,28.0
226,57,Weber,364.0
227,57,Weber,147.0
228,57,Weber,310.0
229,57,Weber,153.0
230,57,Weber,19.0
231,57,Weber,9.0
232,57,Weber,102.0
233,57,Weber,62.0
234,57,Weber,156.0
235,57,Weber,542.0
236,57,Weber,263.0
237,57,Weber,33.0
238,57,Weber,680.0
239,57,Weber,9.0
240,57,Weber,21.0
241,57,Weber,15.0
242,57,Weber,7.0
243,57,Weber,133.0
244,57,Weber,0.0
245,57,Weber,272.0
246,57,Weber,41.0
247,57,Weber,477.0
248,57,Weber,108.0
249,57,Weber,303.0
250,57,Weber,276.0
251,57,Weber,91.0
252,57,Weber,75.0
253,57,Weber,520.0
254,57,Weber,336.0
255,57,Weber,239.0
256,57,Weber,80.0
257,57,Weber,377.0
258,57,Weber,1.0
259,57,Weber,138.0
260,57,Weber,0.0
261,57,Weber,85.0
262,57,Weber,76.0
263,57,Weber,363.0
264,57,Weber,745.0
265,57,Weber,356.0
266,57,Weber,213.0
267,57,Weber,290.0
268,57,Weber,152.0
269,57,Weber,133.0
270,57,Weber,81.0
271,57,Weber,368.0
272,57,Weber,209.0
273,57,Weber,308.0
274,57,Weber,615.0
275,57,Weber,18.0
276,57,Weber,929.0
277,57,Weber,18.0
278,57,Weber,494.0
279,57,Weber,106.0
280,57,Weber,147.0
281,57,Weber,325.0
282,57,Weber,588.0
283,57,Weber,465.0
284,57,Weber,374.0
285,57,Weber,48.0
286,57,Weber,205.0
287,57,Weber,129.0
288,57,Weber,983.0
289,57,Weber,46.0
290,57,Weber,119.0
291,57,Weber,430.0
292,57,Weber,127.0
293,57,Weber,407.0
294,57,Weber,191.0
295,57,Weber,8.0
296,57,Weber,11.0
297,57,Weber,44.0
298,57,Weber,29.0
299,57,Weber,20.0
300,57,Weber,5.0
301,57,Weber,12.0
302,57,Weber,81.0
303,57,Weber,57.0
304,57,Weber,74.0
305,57,Weber,2.0
306,57,Weber,27.0
307,57,Weber,92.0
308,57,Weber,61.0
309,57,Weber,185.0
310,57,Weber,0.0
311,57,Weber,24.0
312,57,Weber,414.0
313,57,Weber,713.0
314,57,Weber,601.0
315,57,Weber,0.0
316,57,Weber,1187.0
317,57,Weber,519.0
318,57,Weber,117.0
319,57,Weber,0.0
320,57,Weber,631.0
321,57,Weber,515.0
322,57,Weber,333.0
323,57,Weber,367.0
324,57,Weber,396.0
325,57,Weber,479.0
326,57,Weber,0.0
327,57,Weber,512.0
328,57,Weber,328.0
329,57,Weber,880.0
330,57,Weber,440.0
331,57,Weber,315.0
332,57,Weber,394.0
333,57,Weber,642.0
334,57,Weber,314.0
335,57,Weber,465.0
336,57,Weber,214.0
337,57,Weber,328.0
338,57,Weber,660.0
339,57,Weber,1.0
340,57,Weber,403.0
341,57,Weber,84.0
342,57,Weber,234.0
343,57,Weber,147.0
344,57,Weber,370.0
345,57,Weber,234.0
346,57,Weber,407.0
347,57,Weber,707.0
348,57,Weber,202.0
349,57,Weber,204.0
350,57,Weber,259.0
351,57,Weber,4.0
352,57,Weber,42.0
353,57,Weber,118.0
354,57,Weber,2.0
355,57,Weber,25.0
356,57,Weber,267.0
357,57,Weber,50.0
358,57,Weber,106.0
359,57,Weber,110.0
360,57,Weber,387.0
361,57,Weber,161.0
362,57,Weber,307.0
363,57,Weber,255.0
364,57,Weber,1.0
365,57,Weber,0.0
366,57,Weber,69.0
367,57,Weber,0.0
368,57,Weber,91.0
369,57,Weber,3.0
370,57,Weber,52.0
371,57,Weber,5.0
372,57,Weber,292.0
373,57,Weber,168.0
374,57,Weber,140.0
375,57,Weber,182.0
376,57,Weber,127.0
377,57,Weber,711.0
378,57,Weber,319.0
379,57,Weber,697.0
380,57,Weber,462.0
381,57,Weber,388.0
382,57,Weber,157.0
383,57,Weber,0.0
384,57,Weber,6.0
385,57,Weber,8.0
386,57,Weber,6.0
387,57,Weber,298.0
388,57,Weber,0.0
389,57,Weber,123.0
390,57,Weber,121.0
391,57,Weber,76.0
392,57,Weber,3.0
393,57,Weber,183.0
394,57,Weber,11.0
395,57,Weber,171.0
396,57,Weber,413.0
397,57,Weber,562.0
398,57,Weber,718.0
399,57,Weber,546.0
400,57,Weber,488.0
401,57,Weber,322.0
402,57,Weber,357.0
403,57,Weber,224.0
404,57,Weber,187.0
405,57,Weber,10.0
406,57,Weber,2.0
407,57,Weber,0.0
408,57,Weber,0.0
409,57,Weber,20.0
410,57,Weber,88.0
411,57,Weber,314.0
412,57,Weber,96.0
413,57,Weber,165.0
414,57,Weber,68.0
415,57,Weber,415.0
416,57,Weber,425.0
417,57,Weber,360.0
418,57,Weber,411.0
419,57,Weber,521.0
420,57,Weber,149.0
421,57,Weber,108.0
422,57,Weber,0.0
423,57,Weber,37.0
424,57,Weber,0.0
425,57,Weber,142.0
426,57,Weber,179.0
427,57,Weber,75.0
428,57,Weber,58.0
429,57,Weber,120.0
430,57,Weber,384.0
431,57,Weber,241.0
432,57,Weber,786.0
433,57,Weber,377.0
434,57,Weber,10.0
435,57,Weber,77.0
436,57,Weber,483.0
437,57,Weber,230.0
438,57,Weber,188.0
439,57,Weber,271.0
440,57,Weber,172.0
441,57,Weber,261.0
442,57,Weber,260.0
443,57,Weber,432.0
444,57,Weber,460.0
445,57,Weber,183.0
446,57,Weber,239.0
447,57,Weber,419.0
448,57,Weber,699.0
449,57,Weber,276.0
450,57,Weber,256.0
451,57,Weber,2.0
452,57,Weber,70.0
453,57,Weber,360.0
454,57,Weber,178.0
455,57,Weber,539.0
456,57,Weber,153.0
457,57,Weber,146.0
458,57,Weber,184.0
459,57,Weber,474.0
460,57,Weber,365.0
461,57,Weber,283.0
462,57,Weber,309.0
463,57,Weber,91.0
464,57,Weber,428.0
465,57,Weber,785.0
466,57,Weber,331.0
467,57,Weber,718.0
468,57,Weber,261.0
469,57,Weber,315.0
470,57,Weber,217.0
471,57,Weber,148.0
472,57,Weber,306.0
473,57,Weber,351.0
474,57,Weber,146.0
475,57,Weber,281.0
476,57,Weber,45.0
477,57,Weber,110.0
478,57,Weber,29.0
479,57,Weber,112.0
480,57,Weber,127.0
481,57,Weber,94.0
482,57,Weber,60.0
483,57,Weber,111.0
484,57,Weber,218.0
485,57,Weber,239.0
486,57,Weber,81.0
487,57,Weber,111.0
488,57,Weber,99.0
489,57,Weber,167.0
490,57,Weber,105.0
491,57,Weber,79.0
492,57,Weber,165.0
493,57,Weber,82.0
494,57,Weber,69.0
495,57,Weber,56.0
496,57,Weber,443.0
497,57,Weber,640.0
498,57,Weber,725.0
499,57,Weber,502.0
500,57,Weber,688.0
501,57,Weber,363.0
502,57,Weber,434.0
503,57,Weber,679.0
504,57,Weber,482.0
505,57,Weber,702.0
506,57,Weber,625.0
507,57,Weber,90.0
508,57,Weber,410.0
509,57,Weber,420.0
510,57,Weber,477.0
511,57,Weber,394.0
512,57,Weber,400.0
513,57,Weber,566.0
514,57,Weber,208.0
515,57,Weber,306.0
516,57,Weber,413.0
517,57,Weber,605.0
518,57,Weber,219.0
519,57,Weber,66.0
520,57,Weber,680.0
521,57,Weber,434.0
522,57,Weber,318.0
523,57,Weber,611.0
524,57,Weber,478.0
525,57,Weber,339.0
526,57,Weber,368.0
527,57,Weber,0.0
528,57,Weber,348.0
529,57,Weber,309.0
530,57,Weber,663.0
531,57,Weber,308.0
532,57,Weber,0.0
533,57,Weber,123.0
534,57,Weber,3.0
535,57,Weber,303.0
536,57,Weber,184.0
537,57,Weber,623.0
538,57,Weber,520.0
539,57,Weber,225.0
540,57,Weber,0.0
541,57,Weber,0.0
542,57,Weber,329.0
543,57,Weber,851.0
544,57,Weber,527.0
545,57,Weber,393.0
546,57,Weber,439.0
547,57,Weber,426.0
548,57,Weber,361.0
549,57,Weber,2.0
550,57,Weber,108.0
551,57,Weber,357.0
552,57,Weber,106.0
553,57,Weber,36.0
554,57,Weber,268.0
555,57,Weber,133.0
556,57,Weber,313.0
557,57,Weber,326.0
558,57,Weber,158.0
559,57,Weber,0.0
560,57,Weber,459.0
561,57,Weber,552.0
562,57,Weber,151.0
563,57,Weber,494.0
564,57,Weber,366.0
565,57,Weber,288.0
566,57,Weber,366.0
567,57,Weber,167.0
568,57,Weber,946.0
569,57,Weber,207.0
570,57,Weber,1180.0
571,57,Weber,378.0
572,57,Weber,914.0
573,57,Weber,300.0
574,57,Weber,98.0
575,57,Weber,309.0
576,57,Weber,9.0
577,57,Weber,1.0
