TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805112, 100.00, 100.00,         0, 100.00, 100.00,   3864382, 100.00, 100.00,   1756360, 100.00, 100.00,    248344, 100.00, 100.00,   6674199, 100.00, 100.00,
    2) Non-Motorized,     32206,   4.00,   4.00,         0,      0,      0,    308932,   7.99,   7.99,    140852,   8.02,   8.02,     44489,  17.91,  17.91,    526480,   7.89,   7.89,
    2) Motorized,    772906,  96.00,  96.00,         0,      0,      0,   3555450,  92.01,  92.01,   1615508,  91.98,  91.98,    203855,  82.09,  82.09,   6147719,  92.11,  92.11
        3) Auto,    759153,  94.29,  98.22,         0,      0,      0,   3532608,  91.41,  99.36,   1610535,  91.70,  99.69,-,-,-,   6106151,  91.49,  99.32,
            4) Auto 1 pers,    631724,  78.46,  83.21,         0,      0,      0,   1268384,  32.82,  35.91,    700345,  39.87,  43.49,-,-,-,   2600453,  38.96,  42.59,
                    GP use,    630843,  78.35,  99.86,         0,      0,      0,   1268817,  32.83, 100.03,    699567,  39.83,  99.89,-,-,-,   2599226,  38.94,  99.95,
                    Toll use,       963,   0.12,   0.15,         0,      0,      0,       505,   0.01,   0.04,      1163,   0.07,   0.17,-,-,-,      2631,   0.04,   0.10
            4) Auto 2 pers,     98227,  12.20,  12.94,         0,      0,      0,   1231264,  31.86,  34.85,    453477,  25.82,  28.16,-,-,-,   1782968,  26.71,  29.20,
                    GP use,     77183,   9.59,  78.58,         0,      0,      0,   1158967,  29.99,  94.13,    409733,  23.33,  90.35,-,-,-,   1645883,  24.66,  92.31,
                    HOV use,     21054,   2.62,  21.43,         0,      0,      0,     72418,   1.87,   5.88,     43797,   2.49,   9.66,-,-,-,    137270,   2.06,   7.70,
