TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    891384, 100.00, 100.00,    124695, 100.00, 100.00,   1961973, 100.00, 100.00,    865247, 100.00, 100.00,    442602, 100.00, 100.00,   4285901, 100.00, 100.00,
    2) Non-Motorized,     27902,   3.13,   3.13,     28458,  22.82,  22.82,    159042,   8.11,   8.11,     56410,   6.52,   6.52,     79400,  17.94,  17.94,    351212,   8.19,   8.19,
    2) Motorized,    863481,  96.87,  96.87,     96238,  77.18,  77.18,   1802931,  91.89,  91.89,    808837,  93.48,  93.48,    363202,  82.06,  82.06,   3934689,  91.81,  91.81
        3) Auto,    843271,  94.60,  97.66,     75479,  60.53,  78.43,   1793057,  91.39,  99.45,    806850,  93.25,  99.75,-,-,-,   3881859,  90.57,  98.66,
            4) Auto 1 pers,    723598,  81.18,  85.81,     54268,  43.52,  71.90,    577011,  29.41,  32.18,    365370,  42.23,  45.28,-,-,-,   1720248,  40.14,  44.32,
                    GP use,    722652,  81.07,  99.87,     54201,  43.47,  99.88,    577416,  29.43, 100.07,    365327,  42.22,  99.99,-,-,-,   1719596,  40.12,  99.96,
                    Toll use,      1068,   0.12,   0.15,        68,   0.05,   0.12,       206,   0.01,   0.04,       297,   0.03,   0.08,-,-,-,      1639,   0.04,   0.10
            4) Auto 2 pers,     89488,  10.04,  10.61,     15569,  12.49,  20.63,    599730,  30.57,  33.45,    212341,  24.54,  26.32,-,-,-,    917128,  21.40,  23.63,
                    GP use,     66287,   7.44,  74.07,     11681,   9.37,  75.03,    563254,  28.71,  93.92,    190833,  22.06,  89.87,-,-,-,    832056,  19.41,  90.72,
                    HOV use,     23224,   2.61,  25.95,      3888,   3.12,  24.97,     36559,   1.86,   6.10,     21543,   2.49,  10.15,-,-,-,     85214,   1.99,   9.29,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     30198,   3.39,   3.58,      5641,   4.52,   7.47,    616320,  31.41,  34.37,    229150,  26.48,  28.40,-,-,-,    881309,  20.56,  22.70,
                    GP use,     22355,   2.51,  74.03,      4233,   3.39,  75.03,    578775,  29.50,  93.91,    205914,  23.80,  89.86,-,-,-,    811276,  18.93,  92.05,
                    HOV use,      7836,   0.88,  25.95,      1409,   1.13,  24.97,     37565,   1.91,   6.10,     23243,   2.69,  10.14,-,-,-,     70053,   1.63,   7.95,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        73,   0.01,   0.01,         0,      0,      0,       359,   0.02,   0.02,       148,   0.02,   0.02,-,-,-,       580,   0.01,   0.01,
                    IMZ D2D 1 pers,        62,   0.01,  84.93,         0,      0,      0,       306,   0.02,  85.24,       127,   0.01,  85.81,-,-,-,       495,   0.01,  85.34,
                    IMZ D2D 2 pers,         9,   0.00,  12.33,         0,      0,      0,        42,   0.00,  11.70,        17,   0.00,  11.49,-,-,-,        68,   0.00,  11.72,
                    IMZ D2D 3+ pers,         2,   0.00,   2.74,         0,      0,      0,        11,   0.00,   3.06,         4,   0.00,   2.70,-,-,-,        17,   0.00,   2.93
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    363202,  82.06,  82.06,    363202,   8.47,  82.06,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     50479,  11.41,  13.90,     50479,   1.18,  13.90,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     50929,  11.51,  14.02,     50929,   1.19,  14.02,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    261794,  59.15,  72.08,    261794,   6.11,  72.08,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,    169195,  38.23,  46.58,    169195,   3.95,  46.58,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     20414,   4.61,  12.07,     20414,   0.48,  12.07,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    148781,  33.62,  87.93,    148781,   3.47,  87.93,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    194007,  43.83,  53.42,    194007,   4.53,  53.42,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     30066,   6.79,  15.50,     30066,   0.70,  15.50,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     50929,  11.51,  26.25,     50929,   1.19,  26.25,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    113012,  25.53,  58.25,    113012,   2.64,  58.25
        3) Transit,     20214,   2.27,   2.34,     20758,  16.65,  21.57,      9875,   0.50,   0.55,      1987,   0.23,   0.25,-,-,-,     52834,   1.23,   1.34
            4) Local Bus (LCL),      7614,   0.85,  37.67,      7686,   6.16,  37.03,      3420,   0.17,  34.64,       633,   0.07,  31.84,-,-,-,     19354,   0.45,  36.63,
                    LCL Walk,      7090,   0.80,  93.11,      6417,   5.15,  83.48,      3335,   0.17,  97.51,       615,   0.07,  97.25,-,-,-,     17457,   0.41,  90.20,
                    LCL Drive,       525,   0.06,   6.89,      1269,   1.02,  16.52,        85,   0.00,   2.49,        17,   0.00,   2.75,-,-,-,      1897,   0.04,   9.80
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),       985,   0.11,   4.87,      4704,   3.77,  22.66,       614,   0.03,   6.22,       167,   0.02,   8.43,-,-,-,      6471,   0.15,  12.25,
                    BRT Walk,       939,   0.11,  95.29,      3468,   2.78,  73.71,       610,   0.03,  99.43,       167,   0.02,  99.85,-,-,-,      5184,   0.12,  80.11,
                    BRT Drive,        46,   0.01,   4.71,      1237,   0.99,  26.29,         3,   0.00,   0.57,         0,   0.00,   0.15,-,-,-,      1287,   0.03,  19.89
            4) Express Bus (EXP),       495,   0.06,   2.45,       244,   0.20,   1.17,        45,   0.00,   0.46,        13,   0.00,   0.65,-,-,-,       797,   0.02,   1.51,
                    EXP Walk,       218,   0.02,  44.14,        89,   0.07,  36.54,        41,   0.00,  91.02,        13,   0.00,  99.99,-,-,-,       362,   0.01,  45.40,
                    EXP Drive,       276,   0.03,  55.86,       155,   0.12,  63.46,         4,   0.00,   8.98,         0,   0.00,   0.01,-,-,-,       435,   0.01,  54.60
