Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    156.76,    156.75,     21.63,    135.13,     21.62,    135.13
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    124.74,    124.73,      9.92,    114.82,      9.88,    114.85
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    557.27,    557.23,     14.54,    542.73,     14.55,    542.68
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     29.40,     29.40,      0.89,     28.51,      0.89,     28.51
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    189.20,    189.19,     11.11,    178.09,     11.09,    178.10
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     56.17,     56.13,      1.06,     55.11,      1.03,     55.10
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1033.04,   1033.02,    108.94,    924.10,    108.96,    924.06
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    654.43,    654.33,    109.87,    544.56,    109.86,    544.47
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     60.93,     60.92,      3.22,     57.71,      3.20,     57.72
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     64.83,     64.86,      9.25,     55.58,      9.27,     55.59
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    699.71,    699.68,     47.01,    652.70,     47.04,    652.64
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.24,     10.21,      0.23,     10.01,      0.24,      9.97
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     40.41,     40.42,      8.69,     31.72,      8.73,     31.69
