SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS
1,pk,HBW,Walk,17128
1,pk,HBC,Walk,26397
1,pk,HBO,Walk,140960
1,pk,NHB,Walk,51006
1,pk,HBSch,Walk,69966
1,pk,HBW,Bike,10773
1,pk,HBC,Bike,2061
1,pk,HBO,Bike,18083
1,pk,NHB,Bike,5404
1,pk,HBSch,Bike,9433
1,pk,HBW,Auto,843271
1,pk,HBC,Auto,75479
1,pk,HBO,Auto,1793057
1,pk,NHB,Auto,806850
1,pk,HBSch,Auto,312722
1,pk,HBW,RegAuto,843198
1,pk,HBC,RegAuto,75479
1,pk,HBO,RegAuto,1792698
1,pk,NHB,RegAuto,806702
1,pk,HBSch,RegAuto,312722
1,pk,HBW,IMZD2D,73
1,pk,HBC,IMZD2D,0
1,pk,HBO,IMZD2D,359
1,pk,NHB,IMZD2D,148
1,pk,HBSch,IMZD2D,0
1,pk,HBW,SchoolBus,0
1,pk,HBC,SchoolBus,0
1,pk,HBO,SchoolBus,0
1,pk,NHB,SchoolBus,0
1,pk,HBSch,SchoolBus,50479
1,pk,HBW,LCL,7614
1,pk,HBC,LCL,7686
1,pk,HBO,LCL,3420
1,pk,NHB,LCL,633
1,pk,HBSch,LCL,0
1,pk,HBW,COR,0
1,pk,HBC,COR,0
1,pk,HBO,COR,0
1,pk,NHB,COR,0
1,pk,HBSch,COR,0
1,pk,HBW,BRT,985
1,pk,HBC,BRT,4704
1,pk,HBO,BRT,614
1,pk,NHB,BRT,167
1,pk,HBSch,BRT,0
1,pk,HBW,EXP,495
1,pk,HBC,EXP,244
1,pk,HBO,EXP,45
1,pk,NHB,EXP,13
1,pk,HBSch,EXP,0
1,pk,HBW,LRT,6851
1,pk,HBC,LRT,4385
1,pk,HBO,LRT,4009
1,pk,NHB,LRT,686
1,pk,HBSch,LRT,0
1,pk,HBW,CRT,4099
1,pk,HBC,CRT,3739
1,pk,HBO,CRT,1048
1,pk,NHB,CRT,183
1,pk,HBSch,CRT,0
1,ok,HBW,Walk,25012
1,ok,HBC,Walk,0
1,ok,HBO,Walk,271234
1,ok,NHB,Walk,128938
1,ok,HBSch,Walk,39245
1,ok,HBW,Bike,7193
1,ok,HBC,Bike,0
1,ok,HBO,Bike,37699
1,ok,NHB,Bike,11914
1,ok,HBSch,Bike,5244
1,ok,HBW,Auto,759153
1,ok,HBC,Auto,0
1,ok,HBO,Auto,3532608
1,ok,NHB,Auto,1610535
1,ok,HBSch,Auto,175677
1,ok,HBW,RegAuto,759102
1,ok,HBC,RegAuto,0
1,ok,HBO,RegAuto,3532062
1,ok,NHB,RegAuto,1610310
1,ok,HBSch,RegAuto,175677
1,ok,HBW,IMZD2D,51
1,ok,HBC,IMZD2D,0
1,ok,HBO,IMZD2D,546
1,ok,NHB,IMZD2D,225
1,ok,HBSch,IMZD2D,0
1,ok,HBW,SchoolBus,0
1,ok,HBC,SchoolBus,0
1,ok,HBO,SchoolBus,0
1,ok,NHB,SchoolBus,0
1,ok,HBSch,SchoolBus,28178
1,ok,HBW,LCL,5516
1,ok,HBC,LCL,0
1,ok,HBO,LCL,9424
1,ok,NHB,LCL,1574
1,ok,HBSch,LCL,0
1,ok,HBW,COR,0
1,ok,HBC,COR,0
1,ok,HBO,COR,0
1,ok,NHB,COR,0
1,ok,HBSch,COR,0
1,ok,HBW,BRT,481
1,ok,HBC,BRT,0
1,ok,HBO,BRT,1488
1,ok,NHB,BRT,708
1,ok,HBSch,BRT,0
1,ok,HBW,EXP,0
1,ok,HBC,EXP,0
1,ok,HBO,EXP,0
1,ok,NHB,EXP,0
1,ok,HBSch,EXP,0
1,ok,HBW,LRT,5669
1,ok,HBC,LRT,0
1,ok,HBO,LRT,8552
1,ok,NHB,LRT,1961
1,ok,HBSch,LRT,0
1,ok,HBW,CRT,1971
1,ok,HBC,CRT,0
1,ok,HBO,CRT,2268
1,ok,NHB,CRT,271
1,ok,HBSch,CRT,0
