Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    162.17,    162.16,     23.05,    139.12,     23.02,    139.14
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    126.73,    126.77,     10.23,    116.50,     10.24,    116.53
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    557.79,    557.82,     14.75,    543.04,     14.75,    543.07
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     29.86,     29.84,      0.91,     28.95,      0.92,     28.92
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    193.89,    193.88,     11.31,    182.58,     11.30,    182.58
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     56.54,     56.54,      1.08,     55.46,      1.07,     55.47
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1061.58,   1061.50,    114.01,    947.57,    113.96,    947.54
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    653.68,    653.65,    109.86,    543.82,    109.87,    543.78
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     61.44,     61.43,      3.30,     58.14,      3.29,     58.14
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     65.65,     65.62,      9.41,     56.24,      9.40,     56.22
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    719.67,    719.78,     48.58,    671.09,     48.62,    671.16
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.18,     10.18,      0.24,      9.94,      0.24,      9.94
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     43.62,     43.60,      9.89,     33.73,      9.88,     33.72
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    237.19,    237.14,     25.92,    211.27,     25.89,    211.25
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    681.50,    681.43,    235.26,    446.24,    235.27,    446.16
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    462.65,    462.63,     19.81,    442.84,     19.76,    442.87
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     50.16,     50.19,      0.56,     49.60,      0.56,     49.63
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    259.01,    259.03,     23.18,    235.83,     23.18,    235.85
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    137.02,    137.08,     11.68,    125.34,     11.68,    125.40
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     84.35,     84.34,      8.70,     75.65,      8.68,     75.66
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     88.19,     88.18,     13.61,     74.58,     13.61,     74.57
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    196.74,    196.69,     17.38,    179.36,     17.33,    179.36
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    551.81,    551.84,    136.47,    415.34,    136.45,    415.39
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.79,      0.78,         0,      0.79,         0,      0.78
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    129.42,    129.39,      5.38,    124.04,      5.36,    124.03
      4.00,OF618,pk,     14.04,     42.00,     20.06,     30.00,      2.00,    168.48,     76.98,     76.94,      6.83,     70.15,      6.81,     70.13
      4.00,OF620,pk,     16.66,     44.97,     22.23,     30.00,      2.00,    199.92,     86.52,     86.47,      6.62,     79.90,      6.58,     79.89
      4.00,OF638,pk,     13.40,     34.23,     23.49,     60.00,      1.00,     80.40,     13.91,     13.90,      0.10,     13.81,      0.10,     13.80
      4.00,S002,pk,      8.42,     39.15,     12.90,     15.00,      4.00,    202.08,    986.27,    986.31,    114.35,    871.92,    114.33,    871.98
      4.00,S004,pk,     23.85,     79.47,     18.01,     30.00,      2.00,    286.20,    794.95,    794.95,     35.11,    759.84,     35.10,    759.85
      4.00,S009,pk,     19.62,     72.49,     16.24,     15.00,      4.00,    470.88,   1169.58,   1169.56,     31.07,   1138.51,     31.07,   1138.49
      4.00,S017,pk,     15.42,     61.53,     15.04,     30.00,      2.00,    185.04,    535.93,    535.91,     70.45,    465.48,     70.44,    465.47
      4.00,S021,pk,     15.70,     58.29,     16.16,     15.00,      4.00,    376.80,   1294.47,   1294.49,    187.31,   1107.16,    187.32,   1107.17
      4.00,S033,pk,     12.54,     36.51,     20.61,     15.00,      4.00,    300.96,    334.29,    334.31,     14.35,    319.94,     14.37,    319.94
      4.00,S035,pk,     28.18,     87.08,     19.42,     15.00,      4.00,    676.32,    543.36,    543.34,     35.74,    507.62,     35.69,    507.65
      4.00,S039,pk,     22.92,     73.59,     18.69,     15.00,      4.00,    550.08,    749.47,    749.40,     42.69,    706.78,     42.67,    706.73
      4.00,S045,pk,     16.22,     49.81,     19.54,     15.00,      4.00,    389.28,    333.95,    333.91,     21.45,    312.50,     21.41,    312.50
      4.00,S047,pk,     25.68,     79.32,     19.43,     30.00,      2.00,    308.16,    243.18,    243.15,     10.20,    232.98,     10.20,    232.95
      4.00,S054,pk,     17.78,     54.00,     19.76,     15.00,      4.00,    426.72,    300.61,    300.70,     24.36,    276.25,     24.37,    276.33
      4.00,S062,pk,     20.26,     61.47,     19.78,     60.00,      1.00,    121.56,     45.20,     45.11,      1.05,     44.15,      1.02,     44.09
      4.00,S072,pk,     11.06,     38.76,     17.12,     30.00,      2.00,    132.72,    140.54,    140.50,      9.01,    131.53,      9.03,    131.47
      4.00,S1,pk,     21.44,     85.28,     15.08,     15.00,      4.00,    514.56,   1286.21,   1286.22,      4.48,   1281.73,      4.42,   1281.80
      4.00,S200,pk,     22.56,     85.60,     15.81,     15.00,      4.00,    541.44,   1390.66,   1390.70,     37.47,   1353.19,     37.46,   1353.24
      4.00,S201,pk,     19.42,     66.63,     17.49,     30.00,      2.00,    233.04,    117.11,    117.08,     13.29,    103.82,     13.26,    103.82
      4.00,S205,pk,     28.62,    102.19,     16.80,     15.00,      4.00,    686.88,   1707.26,   1707.30,     24.53,   1682.73,     24.50,   1682.80
      4.00,S209,pk,     28.98,     99.67,     17.45,     15.00,      4.00,    695.52,   1620.13,   1619.98,     56.26,   1563.87,     56.22,   1563.76
      4.00,S213,pk,     31.02,    111.56,     16.68,     30.00,      2.00,    372.24,    969.53,    969.48,     28.70,    940.83,     28.70,    940.78
      4.00,S217,pk,     24.42,     76.68,     19.11,     15.00,      4.00,    586.08,    629.63,    629.65,     59.74,    569.89,     59.76,    569.89
      4.00,S218,pk,     13.84,     49.15,     16.90,     30.00,      2.00,    166.08,    159.34,    159.27,      5.82,    153.52,      5.80,    153.47
      4.00,S220,pk,     33.42,    110.92,     18.08,     30.00,      2.00,    401.04,    998.51,    998.41,    136.72,    861.79,    136.72,    861.69
