SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     242.2,     544.4,     340.9,     435.8,    1563.3,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1415.3,    3181.1,    1992.0,    2546.5,    9134.9,    1152.3,    2479.9,    1507.0,    1962.2,    7101.4,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.28,     24.83,     55.82,     34.95,     44.69,    160.29,     0.002,         0,         0,     0.001,     0.003
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     245.0,     546.2,     343.4,     438.3,    1572.9,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.200,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     744.5,    1659.9,    1043.6,    1332.0,    4780.0,     607.8,    1295.2,     791.4,    1028.1,    3722.5,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.86,     13.06,     29.12,     18.31,     23.37,     83.86,         0,         0,         0,     0.005,     0.005
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     447.0,     728.0,     618.8,     614.5,    2408.3,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.12,      0.07,      0.13,      0.03,      0.13,     303.0,     493.5,     419.5,     416.7,    1632.7,     252.7,     385.0,     350.8,     348.8,    1337.3,       4.1,      21.7,       6.1,       3.4,      35.3,      31.4,      53.6,      44.3,      35.3,     164.6,      14.9,      33.2,      18.5,      29.1,      95.7,     28.64,      5.31,      8.66,      7.36,      7.31,     28.64,         0,     0.008,     0.010,     0.002,     0.020
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     517.5,     856.5,     712.9,     724.6,    2811.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.078,     2.078,     2.077,     2.078,      6390,     12780,      6390,     25560,     51120,      0.13,      0.09,      0.14,      0.03,      0.14,    1021.1,    1690.0,    1406.6,    1429.7,    5547.4,     836.8,    1295.8,    1168.5,    1195.1,    4496.2,      14.2,      86.7,      27.0,      14.0,     141.9,     124.1,     189.6,     152.4,     122.1,     588.2,      46.0,     118.0,      58.8,      98.4,     321.2,     97.33,     17.91,     29.65,     24.69,     25.08,     97.33,         0,     0.009,     0.012,     0.003,     0.024
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     753.8,    1271.2,    1016.7,    1021.2,    4062.9,      46.0,      45.9,      46.0,      45.9,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.20,      0.13,      0.22,      0.05,      0.22,     238.4,     402.0,     321.6,     323.0,    1285.0,     198.6,     308.9,     268.6,     272.1,    1048.2,       3.1,      21.9,       7.3,       4.5,      36.8,      26.4,      42.5,      32.7,      26.9,     128.5,      10.1,      28.8,      13.0,      19.7,      71.6,     27.91,      5.19,      8.74,      7.00,      7.02,     27.95,     0.005,         0,     0.007,         0,     0.012
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1041.8,    1816.0,    1372.1,    1447.2,    5677.1,      55.0,      54.9,      55.0,      54.9,      55.0,      54.9,     3.188,     3.194,     3.190,     3.196,     3.188,     3.192,      6311,     12622,      6311,     25243,     50487,      0.24,      0.17,      0.27,      0.07,      0.27,    3045.4,    5308.6,    4011.0,    4230.5,   16595.5,    2608.7,    4241.9,    3443.3,    3664.8,   13958.7,      38.0,     247.9,      91.8,      50.3,     428.0,     296.4,     504.0,     350.2,     303.1,    1453.7,     102.3,     314.8,     125.7,     212.2,     755.0,    301.68,     55.46,     96.56,     73.10,     76.91,    302.03,     0.102,     0.060,     0.181,         0,     0.343
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1051.8,    1833.8,    1385.2,    1469.3,    5740.1,      57.0,      56.9,      57.0,      56.9,      57.0,      56.9,     0.212,     0.213,     0.212,     0.213,     0.212,     0.213,      6390,     12780,      6390,     25560,     51120,      0.24,      0.17,      0.27,      0.07,      0.27,     212.1,     369.8,     279.3,     296.3,    1157.5,     181.9,     295.8,     240.0,     256.9,     974.6,       2.6,      17.2,       6.2,       3.4,      29.4,      20.5,      35.0,      24.3,      21.2,     101.0,       7.0,      21.8,       8.7,      14.8,      52.3,     20.31,      3.73,      6.49,      4.91,      5.20,     20.33,     0.010,         0,     0.021,     0.001,     0.032
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1579.0,    2849.9,    2090.8,    2381.4,    8901.1,      48.0,      45.5,      47.4,      44.2,      48.0,      46.4,     1.645,     1.737,     1.666,     1.788,     1.646,     1.703,      6096,     12192,      6096,     24384,     48768,      0.38,      0.26,      0.43,      0.12,      0.43,    2078.0,    3750.5,    2751.5,    3134.0,   11714.0,    1823.2,    3072.4,    2426.7,    2783.9,   10106.2,      25.8,     170.0,      53.4,      40.8,     290.0,     166.3,     303.0,     205.9,     183.2,     858.4,      62.6,     205.2,      65.4,     126.0,     459.2,    244.08,     45.63,     79.14,     62.21,     65.33,    252.31,     2.416,     0.990,     4.971,     0.036,     8.413
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2880.3,    5065.7,    3730.7,    4379.1,   16055.8,      48.0,      43.4,      46.9,      41.4,      48.0,      45.1,     0.312,     0.346,     0.320,     0.363,     0.312,     0.333,      6096,     12192,      6096,     24384,     48768,      0.70,      0.46,      0.79,      0.22,      0.79,     719.1,    1264.7,     931.4,    1093.3,    4008.5,     641.5,    1057.8,     835.4,     987.9,    3522.6,       9.2,      51.0,      15.9,      14.4,      90.5,      48.9,      92.4,      60.1,      55.3,     256.7,      19.5,      63.7,      19.9,      35.7,     138.8,     83.44,     16.56,     26.99,     22.50,     22.78,     88.83,     1.646,     0.660,     3.178,     0.020,     5.504
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2848.9,    4975.3,    3602.1,    4307.9,   15734.2,      55.9,      51.8,      54.8,      50.3,      55.8,      53.4,     0.986,     1.067,     1.006,     1.098,     0.987,     1.034,      6358,     12717,      6358,     25434,     50867,      0.65,      0.44,      0.72,      0.20,      0.72,    2616.3,    4569.1,    3308.0,    3956.2,   14449.6,    2330.9,    3810.6,    2965.6,    3568.1,   12675.2,      32.9,     182.6,      54.2,      50.6,     320.3,     179.0,     340.0,     214.4,     206.0,     939.4,      73.4,     235.7,      73.9,     131.4,     514.4,    258.69,     50.53,     83.44,     65.82,     70.89,    270.68,     3.816,     1.638,     6.712,     0.054,    12.220
