Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    150.29,    150.34,     19.21,    131.08,     19.22,    131.12
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    120.92,    120.86,      8.98,    111.94,      8.95,    111.91
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    560.23,    560.23,     14.14,    546.09,     14.15,    546.08
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     29.12,     29.12,      0.86,     28.26,      0.84,     28.28
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    188.40,    188.36,     10.38,    178.02,     10.38,    177.98
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     55.98,     55.98,      1.01,     54.97,      1.01,     54.97
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1008.49,   1008.27,    101.64,    906.85,    101.54,    906.73
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    659.31,    659.26,    109.93,    549.38,    109.94,    549.32
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     59.39,     59.39,      2.93,     56.46,      2.92,     56.47
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     63.37,     63.35,      8.82,     54.55,      8.82,     54.53
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    675.04,    674.92,     43.44,    631.60,     43.43,    631.49
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.44,     10.43,      0.23,     10.21,      0.23,     10.20
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     37.97,     37.95,      7.69,     30.28,      7.67,     30.28
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    231.00,    230.97,     24.53,    206.47,     24.56,    206.41
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    675.19,    675.13,    232.99,    442.20,    232.99,    442.14
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    458.82,    458.86,     20.90,    437.92,     20.90,    437.96
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     49.68,     49.68,      0.57,     49.11,      0.57,     49.11
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    260.05,    260.07,     23.37,    236.68,     23.36,    236.71
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    132.63,    132.59,     10.85,    121.78,     10.86,    121.73
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     82.17,     82.17,      8.41,     73.76,      8.40,     73.77
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     86.10,     86.04,     13.31,     72.79,     13.28,     72.76
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    187.52,    187.50,     15.75,    171.77,     15.77,    171.73
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    542.11,    542.06,    134.93,    407.18,    134.92,    407.14
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.85,      0.85,         0,      0.85,         0,      0.85
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    126.49,    126.46,      4.57,    121.92,      4.57,    121.89
      4.00,OF618,pk,     14.04,     42.00,     20.06,     30.00,      2.00,    168.48,     73.31,     73.27,      6.01,     67.30,      6.00,     67.27
      4.00,OF620,pk,     16.66,     44.97,     22.23,     30.00,      2.00,    199.92,     80.20,     80.20,      5.96,     74.24,      5.96,     74.24
      4.00,OF638,pk,     13.40,     34.23,     23.49,     60.00,      1.00,     80.40,     13.96,     13.96,      0.10,     13.86,      0.09,     13.87
      4.00,S002,pk,      8.42,     39.15,     12.90,     15.00,      4.00,    202.08,    997.27,    997.22,    114.02,    883.25,    114.01,    883.21
      4.00,S004,pk,     23.85,     79.47,     18.01,     30.00,      2.00,    286.20,    796.95,    796.89,     31.83,    765.12,     31.81,    765.08
