Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    193.24,    193.23,     26.97,    166.27,     26.96,    166.27
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    153.96,    153.96,     12.24,    141.72,     12.22,    141.74
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    563.56,    563.59,     15.56,    548.00,     15.59,    548.00
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     34.45,     34.48,      1.03,     33.42,      1.02,     33.46
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    208.34,    208.35,     14.26,    194.08,     14.27,    194.08
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     58.72,     58.70,      1.24,     57.48,      1.21,     57.49
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1150.23,   1150.20,    120.55,   1029.68,    120.52,   1029.68
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    656.99,    656.93,    110.06,    546.93,    110.02,    546.91
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     73.04,     73.01,      4.49,     68.55,      4.49,     68.52
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     81.79,     81.79,     10.84,     70.95,     10.87,     70.92
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    797.77,    797.69,     58.94,    738.83,     58.93,    738.76
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.81,     10.80,      0.24,     10.57,      0.24,     10.56
