SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     244.2,     540.4,     344.3,     438.2,    1567.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.153,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1427.0,    3157.7,    2011.8,    2560.5,    9157.0,    1163.9,    2456.5,    1526.9,    1976.2,    7123.5,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.67,     25.03,     55.41,     35.30,     44.93,    160.67,         0,         0,         0,     0.007,     0.007
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     246.0,     542.2,     346.8,     440.7,    1575.7,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.200,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     747.6,    1647.8,    1053.9,    1339.3,    4788.6,     610.8,    1283.0,     801.7,    1035.4,    3730.9,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     84.01,     13.12,     28.91,     18.49,     23.49,     84.01,         0,     0.001,         0,     0.008,     0.009
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     521.5,     736.9,     698.1,     628.0,    2584.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.15,      0.08,      0.15,      0.03,      0.15,     353.6,     499.6,     473.3,     425.8,    1752.3,     301.3,     390.6,     400.7,     357.9,    1450.5,       4.7,      21.7,       6.1,       3.4,      35.9,      32.6,      54.1,      45.5,      35.3,     167.5,      14.9,      33.2,      21.0,      29.1,      98.2,     30.73,      6.20,      8.77,      8.31,      7.46,     30.74,     0.005,         0,     0.002,     0.001,     0.008
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     600.3,     870.6,     811.0,     742.8,    3024.7,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.077,     2.078,     2.077,      6390,     12780,      6390,     25560,     51120,      0.16,      0.09,      0.17,      0.03,      0.17,    1184.5,    1717.8,    1600.2,    1465.6,    5968.1,     994.8,    1322.2,    1351.0,    1231.0,    4899.0,      16.0,      86.7,      27.0,      14.0,     143.7,     127.6,     191.0,     155.9,     122.1,     596.6,      46.0,     118.0,      66.3,      98.4,     328.7,    104.71,     20.78,     30.14,     28.08,     25.71,    104.71,     0.007,     0.004,     0.009,     0.003,     0.023
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     862.2,    1311.9,    1151.2,    1069.4,    4394.7,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.413,      5898,     11796,      5898,     23592,     47184,      0.23,      0.14,      0.26,      0.05,      0.26,     272.7,     414.9,     364.1,     338.3,    1390.0,     232.1,     321.6,     309.3,     287.3,    1150.3,       3.4,      21.9,       7.3,       4.5,      37.1,      27.0,      42.7,      33.2,      26.9,     129.8,      10.1,      28.8,      14.2,      19.7,      72.8,     30.19,      5.93,      9.01,      7.92,      7.35,     30.21,     0.009,     0.003,     0.012,     0.010,     0.034
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1136.0,    1885.5,    1482.5,    1551.3,    6055.3,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.197,     3.190,     3.200,     3.188,      6311,     12622,      6311,     25243,     50487,      0.28,      0.17,      0.30,      0.07,      0.30,    3320.8,    5511.8,    4333.6,    4534.8,   17701.0,    2876.2,    4443.3,    3749.6,    3969.1,   15038.2,      40.6,     247.9,      91.8,      50.3,     430.6,     301.7,     505.8,     355.4,     303.1,    1466.0,     102.3,     314.8,     136.8,     212.2,     766.1,    321.72,     60.52,    100.26,     79.07,     82.42,    322.27,     0.168,     0.077,     0.312,         0,     0.557
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1148.9,    1905.1,    1497.7,    1577.0,    6128.7,      57.0,      56.8,      56.9,      56.8,      57.0,      56.9,     0.212,     0.213,     0.212,     0.213,     0.212,      6390,     12780,      6390,     25560,     51120,      0.28,      0.17,      0.30,      0.07,      0.30,     231.6,     384.1,     302.0,     318.0,    1235.7,     200.9,     310.1,     261.5,     278.7,    1051.2,       2.8,      17.2,       6.2,       3.4,      29.6,      20.9,      35.1,      24.7,      21.2,     101.9,       7.0,      21.8,       9.4,      14.8,      53.0,     21.69,      4.08,      6.75,      5.32,      5.58,     21.73,     0.017,         0,     0.023,         0,     0.040
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1674.8,    2916.3,    2187.3,    2482.1,    9260.5,      48.0,      45.2,      47.4,      43.5,      48.0,      46.1,     1.645,     1.752,     1.667,     1.820,     1.646,      6096,     12192,      6096,     24384,     48768,      0.41,      0.27,      0.47,      0.12,      0.47,    2204.0,    3837.9,    2878.5,    3266.5,   12186.9,    1947.0,    3159.5,    2556.4,    2916.4,   10579.3,      26.9,     170.0,      53.4,      40.8,     291.1,     168.7,     303.2,     207.3,     183.2,     862.4,      61.4,     205.2,      61.5,     126.0,     454.1,    253.94,     48.80,     81.05,     66.20,     68.10,    264.15,     2.968,     1.076,     6.365,     0.034,    10.443
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2989.3,    5168.5,    3864.4,    4478.8,   16501.0,      48.0,      42.7,      46.8,      40.1,      48.0,      44.6,     0.312,     0.352,     0.320,     0.375,     0.312,      6096,     12192,      6096,     24384,     48768,      0.73,      0.47,      0.83,      0.22,      0.83,     746.3,    1290.4,     964.8,    1118.2,    4119.7,     668.2,    1083.9,     869.3,    1012.8,    3634.2,       9.5,      51.0,      15.9,      14.4,      90.8,      49.4,      92.2,      60.3,      55.3,     257.2,      19.2,      63.5,      19.2,      35.7,     137.6,     85.75,     17.49,     27.58,     24.06,     23.29,     92.42,     2.012,     0.726,     4.057,     0.022,     6.817
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2969.3,    5088.3,    3710.8,    4419.9,   16188.3,      55.9,      51.0,      54.7,      49.4,      55.8,      53.0,     0.986,     1.084,     1.008,     1.119,     0.987,      6358,     12717,      6358,     25434,     50867,      0.69,      0.45,      0.75,      0.21,      0.75,    2726.8,    4672.8,    3407.9,    4059.0,   14866.5,    2439.0,    3915.9,    3076.0,    3671.0,   13101.9,      33.8,     182.6,      54.2,      50.6,     321.2,     181.5,     339.4,     208.8,     206.0,     935.7,      72.6,     234.9,      68.9,     131.4,     507.8,    266.16,     53.50,     85.47,     69.03,     72.74,    280.74,     4.835,     1.815,     8.175,     0.073,    14.898
