SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     243.2,     542.4,     346.2,     435.8,    1567.6,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1421.1,    3169.4,    2022.9,    2546.5,    9159.9,    1158.1,    2468.2,    1538.0,    1962.2,    7126.5,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.72,     24.93,     55.61,     35.50,     44.69,    160.73,         0,     0.003,         0,     0.001,     0.004
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     245.0,     544.2,     348.7,     437.3,    1575.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     744.6,    1653.9,    1059.7,    1329.0,    4787.2,     607.8,    1289.1,     807.5,    1025.1,    3729.5,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.98,     13.06,     29.02,     18.59,     23.31,     83.98,         0,         0,         0,         0,         0
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     464.8,     712.1,     645.3,     611.3,    2433.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.13,      0.07,      0.14,      0.03,      0.14,     315.1,     482.8,     437.5,     414.4,    1649.8,     264.1,     374.3,     364.9,     346.7,    1350.0,       4.1,      21.7,       6.1,       3.4,      35.3,      32.7,      53.6,      45.5,      35.3,     167.1,      14.3,      33.2,      21.0,      29.1,      97.6,     28.94,      5.53,      8.47,      7.67,      7.27,     28.94,         0,     0.007,         0,         0,     0.007
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     572.1,     865.1,     768.9,     753.1,    2959.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.14,      0.09,      0.16,      0.03,      0.16,    1128.8,    1706.9,    1517.1,    1485.9,    5838.7,     942.7,    1312.7,    1268.1,    1251.4,    4774.9,      14.2,      86.7,      27.0,      14.0,     141.9,     127.8,     189.6,     155.9,     122.1,     595.4,      44.0,     118.0,      66.1,      98.4,     326.5,    102.44,     19.81,     29.95,     26.63,     26.07,    102.46,     0.012,         0,     0.002,         0,     0.014
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     859.8,    1329.2,    1129.2,    1110.5,    4428.7,      46.0,      45.9,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.412,     0.413,     0.413,      5898,     11796,      5898,     23592,     47184,      0.22,      0.14,      0.24,      0.05,      0.24,     271.9,     420.4,     357.2,     351.2,    1400.7,     231.9,     327.4,     302.4,     300.3,    1162.0,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.2,      26.9,     129.6,       9.8,      28.8,      14.2,      19.7,      72.5,     30.43,      5.92,      9.14,      7.77,      7.63,     30.46,     0.002,         0,     0.013,     0.007,     0.022
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1154.0,    1928.4,    1486.8,    1583.7,    6152.9,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.195,     3.190,     3.198,     3.188,      6311,     12622,      6311,     25243,     50487,      0.26,      0.18,      0.29,      0.07,      0.29,    3373.4,    5637.1,    4346.2,    4629.5,   17986.2,    2934.1,    4570.5,    3762.5,    4063.9,   15331.0,      38.0,     247.9,      91.8,      50.3,     428.0,     302.0,     504.0,     355.4,     303.1,    1464.5,      99.4,     314.8,     136.5,     212.2,     762.9,    326.90,     61.44,    102.53,     79.25,     84.14,    327.36,     0.131,     0.076,     0.262,         0,     0.469
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1166.9,    1949.1,    1503.1,    1608.4,    6227.5,      57.0,      56.8,      57.0,      56.9,      57.0,      56.9,     0.212,     0.213,     0.212,     0.213,     0.212,      6390,     12780,      6390,     25560,     51120,      0.26,      0.18,      0.29,      0.07,      0.29,     235.3,     393.0,     303.1,     324.3,    1255.7,     204.9,     319.1,     262.7,     285.0,    1071.7,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.7,      21.2,     101.8,       6.8,      21.8,       9.4,      14.8,      52.8,     22.03,      4.14,      6.90,      5.33,      5.69,     22.06,     0.005,         0,     0.012,         0,     0.017
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1671.1,    2939.3,    2170.3,    2474.6,    9255.3,      48.0,      45.5,      47.4,      43.8,      48.0,      46.3,     1.645,     1.740,     1.667,     1.805,     1.646,      6096,     12192,      6096,     24384,     48768,      0.40,      0.27,      0.45,      0.12,      0.45,    2199.2,    3868.1,    2856.2,    3256.7,   12180.2,    1944.4,    3190.1,    2524.0,    2906.5,   10565.0,      25.8,     170.0,      53.4,      40.8,     290.0,     168.8,     303.0,     208.3,     183.2,     863.3,      60.1,     205.2,      70.4,     126.0,     461.7,    253.80,     48.38,     81.66,     65.19,     67.89,    263.12,     2.629,     1.066,     5.791,     0.029,     9.515
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2940.2,    5125.2,    3798.7,    4436.0,   16300.1,      48.0,      43.3,      46.8,      40.9,      48.0,      44.9,     0.312,     0.347,     0.320,     0.368,     0.312,      6096,     12192,      6096,     24384,     48768,      0.71,      0.47,      0.81,      0.22,      0.81,     734.1,    1279.6,     948.5,    1107.6,    4069.8,     656.4,    1072.9,     851.0,    1002.1,    3582.4,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.5,      55.3,     257.6,      18.9,      63.5,      20.9,      35.7,     139.0,     84.71,     16.94,     27.34,     23.21,     23.07,     90.56,     1.719,     0.701,     3.530,     0.024,     5.974
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2854.3,    4989.1,    3579.4,    4322.5,   15745.3,      55.9,      52.3,      54.8,      50.7,      55.8,      53.6,     0.986,     1.055,     1.006,     1.089,     0.987,      6358,     12717,      6358,     25434,     50867,      0.63,      0.44,      0.71,      0.21,      0.71,    2621.3,    4581.7,    3287.2,    3969.6,   14459.8,    2335.8,    3824.2,    2945.0,    3581.5,   12686.5,      32.9,     182.6,      54.2,      50.6,     320.3,     180.8,     340.0,     212.3,     206.0,     939.1,      71.7,     234.9,      75.7,     131.4,     513.7,    258.88,     50.10,     83.68,     64.90,     71.13,    269.81,     3.266,     1.658,     6.133,     0.064,    11.121
