SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     242.2,     540.8,     342.3,     438.8,    1564.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1415.3,    3160.1,    2000.2,    2564.1,    9139.7,    1152.3,    2458.9,    1515.2,    1979.7,    7106.1,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.36,     24.83,     55.45,     35.10,     44.99,    160.37,     0.002,         0,         0,     0.005,     0.007
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     244.0,     542.6,     346.2,     440.3,    1573.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     741.5,    1649.0,    1052.1,    1338.1,    4780.7,     604.7,    1284.3,     799.9,    1034.2,    3723.1,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.87,     13.01,     28.93,     18.46,     23.47,     83.87,         0,         0,         0,         0,         0
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     429.6,     713.2,     598.7,     608.1,    2349.6,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.12,      0.07,      0.13,      0.03,      0.13,     291.2,     483.5,     405.9,     412.3,    1592.9,     240.3,     375.0,     335.4,     344.4,    1295.1,       4.1,      21.7,       6.1,       3.4,      35.3,      32.7,      53.6,      45.5,      35.3,     167.1,      14.3,      33.2,      19.0,      29.1,      95.6,     27.94,      5.11,      8.48,      7.12,      7.23,     27.94,         0,     0.003,         0,         0,     0.003
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     560.8,     873.8,     750.8,     767.9,    2953.3,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.078,     2.077,      6390,     12780,      6390,     25560,     51120,      0.13,      0.09,      0.15,      0.04,      0.15,    1106.5,    1724.1,    1481.4,    1515.1,    5827.1,     920.5,    1329.9,    1238.1,    1280.6,    4769.1,      14.2,      86.7,      27.0,      14.0,     141.9,     127.8,     189.6,     155.9,     122.1,     595.4,      44.0,     118.0,      60.4,      98.4,     320.8,    102.23,     19.42,     30.25,     26.00,     26.58,    102.25,     0.002,         0,     0.010,         0,     0.012
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     875.6,    1350.8,    1123.8,    1132.6,    4482.8,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.412,     0.413,     0.413,      5898,     11796,      5898,     23592,     47184,      0.21,      0.14,      0.23,      0.05,      0.23,     276.9,     427.2,     355.4,     358.2,    1417.7,     236.9,     334.1,     301.6,     307.3,    1179.9,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.2,      26.9,     129.6,       9.8,      28.8,      13.3,      19.7,      71.6,     30.80,      6.02,      9.29,      7.73,      7.79,     30.83,     0.004,     0.001,     0.010,     0.005,     0.020
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1219.7,    1956.4,    1533.6,    1626.1,    6335.8,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.195,     3.191,     3.198,     3.188,      6311,     12622,      6311,     25243,     50487,      0.26,      0.18,      0.29,      0.07,      0.29,    3565.5,    5719.0,    4483.0,    4753.5,   18521.0,    3126.1,    4652.3,    3907.8,    4187.8,   15874.0,      38.0,     247.9,      91.8,      50.3,     428.0,     302.0,     504.0,     355.4,     303.1,    1464.5,      99.4,     314.8,     128.0,     212.2,     754.4,    336.66,     64.94,    104.04,     81.76,     86.41,    337.15,     0.133,     0.092,     0.262,     0.009,     0.496
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1233.2,    1975.8,    1548.9,    1651.3,    6409.2,      57.0,      56.9,      56.9,      56.9,      57.0,      56.9,     0.212,     0.213,     0.212,     0.213,     0.212,      6390,     12780,      6390,     25560,     51120,      0.26,      0.18,      0.29,      0.07,      0.29,     248.6,     398.4,     312.3,     333.0,    1292.3,     218.3,     324.5,     272.5,     293.6,    1108.9,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.7,      21.2,     101.8,       6.8,      21.8,       8.8,      14.8,      52.2,     22.68,      4.37,      7.00,      5.49,      5.84,     22.70,     0.011,         0,     0.009,         0,     0.020
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1698.4,    2930.3,    2190.7,    2477.5,    9296.9,      48.0,      45.7,      47.4,      44.3,      48.0,      46.5,     1.645,     1.728,     1.666,     1.783,     1.646,      6096,     12192,      6096,     24384,     48768,      0.39,      0.27,      0.44,      0.12,      0.44,    2235.1,    3856.3,    2883.1,    3260.4,   12234.9,    1979.0,    3178.2,    2552.1,    2910.4,   10619.7,      25.8,     170.0,      53.4,      40.8,     290.0,     170.1,     303.0,     210.9,     183.2,     867.2,      60.1,     205.2,      66.6,     126.0,     457.9,    254.94,     48.88,     81.37,     65.03,     67.97,    263.25,     2.352,     1.027,     5.031,     0.030,     8.440
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2941.9,    5077.3,    3774.2,    4370.3,   16163.7,      48.0,      43.8,      46.9,      41.5,      48.0,      45.2,     0.312,     0.343,     0.320,     0.362,     0.312,      6096,     12192,      6096,     24384,     48768,      0.69,      0.46,      0.79,      0.21,      0.79,     734.5,    1267.7,     942.3,    1091.1,    4035.6,     656.6,    1061.0,     845.1,     985.7,    3548.4,       9.2,      51.0,      15.9,      14.4,      90.5,      49.6,      92.4,      61.0,      55.3,     258.3,      18.9,      63.5,      20.2,      35.7,     138.3,     84.00,     16.78,     27.05,     22.71,     22.74,     89.28,     1.536,     0.665,     3.143,     0.026,     5.370
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2787.2,    4896.1,    3509.7,    4211.8,   15404.8,      55.9,      53.1,      54.8,      51.5,      55.8,      54.0,     0.986,     1.038,     1.005,     1.072,     0.987,      6358,     12717,      6358,     25434,     50867,      0.59,      0.43,      0.67,      0.20,      0.67,    2559.6,    4496.3,    3223.2,    3867.9,   14147.0,    2273.3,    3738.8,    2880.9,    3479.9,   12372.9,      32.9,     182.6,      54.2,      50.6,     320.3,     181.7,     340.0,     215.1,     206.0,     942.8,      71.7,     234.9,      73.0,     131.4,     511.0,    253.28,     48.17,     82.02,     62.63,     69.30,    262.12,     2.399,     1.520,     4.982,     0.054,     8.955
0006_158.5,     0.472,Both,Total,       1.0,      49.0,       2.0,       0.9,Principal Arterial,       998,    2887.8,    4931.1,    3561.7,    4208.3,   15588.9,      44.5,      40.8,      43.5,      39.5,      44.5,      42.3,     0.636,     0.696,     0.651,     0.719,     0.636,      5987,     11974,      5987,     23947,     47895,      0.68,      0.45,      0.75,      0.21,      0.75,    1362.8,    2327.0,    1680.8,    1985.9,    7356.5,    1212.8,    1954.0,    1515.8,    1806.8,    6489.4,      18.9,     100.1,      31.7,      26.5,     177.2,      96.1,     165.8,     101.8,      97.9,     461.6,      34.9,     107.1,      31.5,      54.7,     228.2,    165.14,     33.41,     53.49,     42.59,     44.62,    174.11,     2.904,     1.259,     4.937,     0.044,     9.144
0006_158.9,     0.381,Both,Total,       1.0,      49.0,       2.0,       0.8,Principal Arterial,       997,    2960.3,    5083.9,    3664.2,    4335.1,   16043.5,      46.0,      42.9,      45.1,      41.8,      45.9,      44.1,     0.497,     0.533,     0.507,     0.548,     0.497,      5984,     11969,      5984,     23937,     47874,      0.70,      0.46,      0.76,      0.22,      0.76,    1127.7,    1936.5,    1395.8,    1651.3,    6111.3,    1001.3,    1621.2,    1258.3,    1498.1,    5378.9,      17.1,      84.8,      26.4,      23.4,     151.7,      80.1,     139.2,      84.7,      82.8,     386.8,      29.1,      91.4,      26.4,      47.0,     193.9,    132.95,     26.26,     42.94,     33.43,     35.95,    138.58,     1.785,     0.815,     3.112,     0.020,     5.732
0006_159.3,     0.278,Both,Total,       1.0,      49.0,       4.0,       1.1,Principal Arterial,       929,    3261.8,    5663.9,    4073.5,    4837.7,   17836.9,      40.0,      39.5,      39.8,      39.3,      40.0,      39.7,     0.418,     0.423,     0.419,     0.425,     0.418,     11148,     22296,     11148,     44592,     89184,      0.41,      0.28,      0.45,      0.13,      0.45,     907.6,    1576.1,    1133.5,    1346.1,    4963.3,     801.8,    1306.5,    1015.6,    1218.3,    4342.2,      15.5,      74.2,      23.0,      19.0,     131.7,      66.6,     118.4,      72.4,      69.0,     326.4,      23.7,      76.9,      22.6,      39.9,     163.1,    124.16,     22.97,     39.56,     28.85,     33.68,    125.06,     0.274,     0.143,     0.497,     0.007,     0.921
0006_159.6,     0.226,Both,Total,       1.0,      49.0,       4.0,       0.9,Principal Arterial,       929,    3788.5,    6758.6,    4800.3,    5741.2,   21088.6,      40.0,      39.5,      39.7,      38.9,      40.0,      39.6,     0.339,     0.344,     0.342,     0.349,     0.339,     11148,     22296,     11148,     44592,     89184,      0.43,      0.33,      0.50,      0.15,      0.50,     856.7,    1528.3,    1085.5,    1298.3,    4768.8,     746.6,    1243.8,     956.9,    1160.2,    4107.5,      14.0,      73.7,      25.1,      21.1,     133.9,      69.4,     127.7,      77.5,      74.9,     349.5,      26.7,      83.2,      26.0,      42.0,     177.9,    119.22,     21.71,     38.49,     27.91,     32.46,    120.57,     0.304,     0.276,     0.767,     0.005,     1.352
0006_159.8,     0.445,Both,Total,       1.0,      49.0,       4.0,       1.8,Principal Arterial,       929,    3966.2,    7225.9,    4990.5,    6204.1,   22386.7,      40.0,      39.0,      39.6,      38.5,      40.0,      39.4,     0.669,     0.685,     0.675,     0.693,     0.669,     11148,     22296,     11148,     44592,     89184,      0.49,      0.36,      0.54,      0.17,      0.54,    1766.2,    3217.9,    2222.4,    2762.8,    9969.3,    1527.9,    2621.2,    1948.1,    2469.4,    8566.6,      29.0,     145.3,      46.1,      42.8,     263.2,     150.5,     269.5,     167.0,     152.6,     739.6,      58.8,     181.8,      61.2,      97.9,     399.7,    249.44,     45.23,     81.31,     57.65,     69.15,    253.34,     1.075,     0.791,     2.073,     0.036,     3.975
0006_160.3,     0.249,Both,Total,       1.0,      49.0,       4.0,       1.0,Principal Arterial,       929,    4774.1,    8817.0,    6125.0,    7443.5,   27159.6,      40.0,      38.2,      39.2,      37.0,      40.0,      38.7,     0.373,     0.392,     0.381,     0.404,     0.373,     11148,     22296,     11148,     44592,     89184,      0.59,      0.45,      0.66,      0.20,      0.66,    1189.2,    2196.1,    1525.7,    1854.1,    6765.1,    1025.5,    1779.6,    1326.5,    1644.4,    5776.0,      18.4,      97.6,      31.4,      28.6,     176.0,     101.1,     186.0,     119.3,     105.7,     512.1,      44.0,     133.0,      48.5,      75.3,     300.8,    168.92,     31.14,     56.04,     41.23,     46.33,    174.74,     1.487,     1.200,     3.171,     0.032,     5.890
0006_173.4,     0.446,Both,Total,       1.0,      49.0,       6.0,       2.7,Expressway,       919,    9411.5,   17676.6,   12128.2,   13833.9,   53050.2,      44.9,      41.2,      43.3,      36.3,      44.9,      41.5,     0.596,     0.652,     0.619,     0.741,     0.596,     16542,     33084,     16542,     66168,    132336,      0.79,      0.63,      0.91,      0.25,      0.91,    4199.4,    7887.2,    5411.6,    6172.6,   23670.8,    3268.4,    5623.9,    4217.0,    4854.1,   17963.4,      79.4,     361.4,     124.4,     107.5,     672.7,     509.2,     940.7,     648.9,     572.9,    2671.7,     342.4,     961.2,     421.4,     638.0,    2363.0,    526.88,    102.00,    182.22,    149.14,    137.39,    570.75,     8.852,     6.673,    29.266,     0.005,    44.796
0006_173.7,     0.270,Both,Total,       1.0,      49.0,       6.0,       1.6,Expressway,       919,    8197.3,   15377.0,   10766.5,   12892.3,   47233.1,      45.0,      42.0,      44.4,      39.2,      45.0,      42.8,     0.360,     0.388,     0.366,     0.416,     0.360,     16542,     33084,     16542,     66168,    132336,      0.75,      0.54,      0.85,      0.23,      0.85,    2217.0,    4158.8,    2911.9,    3486.8,   12774.5,    1805.0,    3091.0,    2353.1,    2848.8,   10097.9,      36.3,     167.4,      56.6,      53.3,     313.6,     221.1,     433.6,     295.2,     261.0,    1210.9,     154.6,     466.8,     207.0,     323.8,    1152.2,    283.62,     52.76,     93.73,     74.33,     77.41,    298.23,     3.727,     1.393,    10.067,     0.003,    15.190
0006_174.0,     0.438,Both,Total,       1.0,      49.0,       4.0,       1.8,Expressway,       948,    6477.0,   12865.8,    8507.0,   10956.0,   38805.8,      45.0,      39.2,      42.9,      34.6,      45.0,      40.7,     0.584,     0.674,     0.613,     0.764,     0.585,     11376,     22752,     11376,     45504,     91008,      0.84,      0.67,      0.95,      0.29,      0.95,    2836.9,    5635.1,    3726.0,    4798.7,   16996.7,    2301.1,    4252.3,    2999.2,    3926.6,   13479.2,      40.3,     189.3,      58.8,      52.6,     341.0,     279.5,     527.4,     368.8,     336.4,    1512.1,     216.1,     666.1,     299.3,     483.1,    1664.6,    377.95,     72.28,    131.49,    107.55,    106.74,    418.06,     9.678,     6.191,    25.527,     0.031,    41.427
0006_174.4,     0.435,Both,Total,       1.0,      49.0,       4.0,       1.7,Expressway,       948,    6477.0,   12865.8,    8507.0,   10956.0,   38805.8,      45.0,      39.2,      42.8,      34.6,      44.9,      40.6,     0.580,     0.669,     0.609,     0.759,     0.580,     11376,     22752,     11376,     45504,     91008,      0.84,      0.67,      0.95,      0.29,      0.95,    2814.3,    5590.3,    3696.3,    4760.4,   16861.3,    2282.7,    4218.5,    2975.3,    3895.3,   13371.8,      40.0,     187.8,      58.2,      52.1,     338.1,     277.2,     523.3,     365.8,     333.7,    1500.0,     214.3,     660.8,     296.9,     479.2,    1651.2,    375.06,     71.72,    130.49,    106.72,    105.92,    414.85,     9.605,     6.141,    25.328,     0.027,    41.101
0006_174.9,     0.700,Both,Total,       1.0,      49.0,       4.0,       2.8,Expressway,      1021,    4668.7,    9693.1,    6410.8,    7966.7,   28739.3,      55.0,      54.5,      54.7,      53.2,      55.0,      54.4,     0.763,     0.771,     0.768,     0.791,     0.763,     12252,     24504,     12252,     49008,     98016,      0.54,      0.48,      0.66,      0.19,      0.66,    3267.3,    6783.6,    4486.6,    5575.4,   20112.9,    2633.2,    5102.1,    3555.9,    4441.6,   15732.8,      42.7,     184.1,      54.6,      49.7,     331.1,     298.7,     608.5,     451.6,     398.2,    1757.0,     292.8,     888.9,     424.4,     685.8,    2291.9,    365.54,     59.96,    124.06,     84.40,    101.33,    369.75,     0.574,     0.774,     2.945,         0,     4.293
0006_175.6,     0.551,Both,Total,       1.0,      49.0,       4.0,       2.2,Expressway,      1021,    4062.4,    8633.3,    5596.2,    6955.4,   25247.3,      55.0,      54.8,      54.8,      54.2,      55.0,      54.7,     0.601,     0.603,     0.603,     0.610,     0.601,     12252,     24504,     12252,     49008,     98016,      0.46,      0.43,      0.57,      0.17,      0.57,    2239.1,    4758.6,    3084.6,    3833.8,   13916.1,    1773.4,    3525.7,    2392.3,    2995.9,   10687.3,      28.1,     124.6,      36.4,      25.9,     215.0,     215.3,     435.8,     328.8,     286.1,    1266.0,     222.3,     672.5,     327.1,     525.9,    1747.8,    252.96,     40.85,     86.78,     56.91,     69.69,    254.23,     0.143,     0.297,     0.868,         0,     1.308
0006_176.1,     0.900,Both,Total,       1.0,      49.0,       4.0,       3.6,Expressway,      1021,    2992.3,    6633.3,    4194.5,    5176.5,   18996.6,      55.0,      55.0,      54.9,      54.8,      55.0,      54.9,     0.983,     0.983,     0.983,     0.986,     0.983,     12252,     24504,     12252,     49008,     98016,      0.32,      0.35,      0.43,      0.13,      0.43,    2694.2,    5972.4,    3776.5,    4660.7,   17103.8,    2082.0,    4312.3,    2816.3,    3468.5,   12679.1,      18.0,      97.4,      24.3,      19.8,     159.5,     264.3,     546.9,     433.3,     370.1,    1614.6,     329.8,    1015.7,     502.6,     802.2,    2650.3,    311.11,     49.03,    108.72,     68.89,     84.78,    311.42,     0.025,     0.083,     0.204,         0,     0.312
0006_177.0,     0.194,Both,Total,       1.0,      49.0,       4.0,       0.8,Expressway,      1021,    3040.6,    6767.7,    4367.2,    5254.7,   19430.2,      55.0,      55.0,      54.9,      54.8,      55.0,      54.9,     0.212,     0.212,     0.212,     0.212,     0.212,     12252,     24504,     12252,     49008,     98016,      0.32,      0.36,      0.44,      0.14,      0.44,     589.8,    1312.7,     847.1,    1019.2,    3768.8,     453.6,     947.9,     636.6,     760.7,    2798.8,       4.1,      23.3,       5.4,       6.6,      39.4,      59.5,     122.9,      97.3,      80.3,     360.0,      72.6,     218.7,     107.9,     171.7,     570.9,     68.53,     10.73,     23.89,     15.46,     18.54,     68.62,     0.002,     0.018,     0.061,         0,     0.081
