SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1059,     450.6,     766.9,     459.3,     544.8,    2221.6,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     6.836,     6.836,     6.836,     6.836,     6.836,      6356,     12711,      6356,     25423,     50845,      0.11,      0.08,      0.10,      0.03,      0.11,    2633.0,    4481.2,    2683.8,    3183.5,   12981.5,    2311.6,    3826.7,    2286.5,    2704.3,   11129.1,         0,         0,         0,         0,         0,     122.7,     239.6,     187.0,     146.1,     695.4,     198.6,     414.8,     210.3,     333.0,    1156.7,    253.11,     51.33,     87.37,     52.32,     62.07,    253.09,         0,         0,         0,     0.004,     0.004
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     463.1,     823.9,     476.6,     558.6,    2322.2,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     3.554,     3.554,     3.554,     3.554,     3.554,      6390,     12780,      6390,     25560,     51120,      0.11,      0.08,      0.10,      0.03,      0.11,    1407.4,    2503.9,    1448.4,    1697.6,    7057.3,    1202.3,    1990.2,    1189.2,    1406.4,    5788.1,      38.0,     173.2,      52.6,      41.9,     305.7,      63.9,     124.6,      97.2,      76.0,     361.7,     103.4,     215.8,     109.4,     173.2,     601.8,    137.54,     27.43,     48.80,     28.23,     33.09,    137.55,         0,     0.001,         0,         0,     0.001
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     770.5,    1233.3,     890.2,     953.3,    3847.3,      51.3,      51.3,      51.3,      51.2,      51.3,      51.3,     0.793,     0.793,     0.793,     0.793,     0.793,      6390,     12780,      6390,     25560,     51120,      0.13,      0.11,      0.18,      0.05,      0.18,     522.4,     836.2,     603.5,     646.3,    2608.4,     466.1,     685.6,     538.5,     576.5,    2266.7,      18.3,      83.4,      25.7,      21.7,     149.1,      26.5,      46.1,      27.1,      27.8,     127.5,      11.5,      21.0,      12.2,      20.3,      65.0,     50.86,     10.18,     16.30,     11.78,     12.61,     50.87,     0.003,     0.002,     0.001,         0,     0.006
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     838.1,    1350.0,     977.9,    1053.6,    4219.6,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     2.308,     2.308,     2.308,     2.310,     2.308,      6390,     12780,      6390,     25560,     51120,      0.14,      0.12,      0.20,      0.05,      0.20,    1653.7,    2663.7,    1929.5,    2078.9,    8325.8,    1483.1,    2204.9,    1729.4,    1873.3,    7290.7,      55.7,     254.2,      85.7,      64.0,     459.6,      79.7,     143.4,      78.9,      81.7,     383.7,      35.2,      61.1,      35.5,      60.0,     191.8,    162.30,     32.24,     51.93,     37.64,     40.53,    162.34,     0.008,     0.009,     0.030,     0.004,     0.051
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     976.3,    1578.2,    1159.6,    1255.0,    4969.1,      41.4,      41.3,      41.4,      41.3,      41.4,      41.3,     0.459,     0.459,     0.459,     0.459,     0.459,      5898,     11796,      5898,     23592,     47184,      0.18,      0.15,      0.25,      0.06,      0.25,     308.7,     499.2,     366.7,     396.9,    1571.5,     280.3,     421.6,     332.9,     364.0,    1398.8,       9.5,      43.0,      14.3,       8.2,      75.0,      13.4,      24.7,      14.0,      14.9,      67.0,       5.7,       9.8,       5.7,       9.8,      31.0,     38.00,      7.47,     12.07,      8.88,      9.59,     38.01,     0.005,         0,     0.013,     0.010,     0.028
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1011,    1315.4,    2117.4,    1539.8,    1634.8,    6607.4,      42.9,      42.8,      42.9,      42.7,      42.9,      42.8,     4.088,     4.095,     4.091,     4.103,     4.088,      6064,     12128,      6064,     24257,     48513,      0.24,      0.20,      0.31,      0.08,      0.31,    3845.2,    6189.7,    4501.2,    4778.9,   19315.0,    3548.5,    5387.5,    4151.0,    4435.1,   17522.1,     102.3,     451.7,     147.6,     100.9,     802.5,     141.8,     259.9,     147.0,     152.3,     701.0,      52.6,      90.6,      55.6,      90.6,     289.4,    450.21,     89.78,    144.37,    105.30,    111.39,    450.84,     0.150,     0.096,     0.375,     0.003,     0.624
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1016,    1321.4,    2130.6,    1548.9,    1646.4,    6647.3,      43.2,      43.1,      43.2,      43.0,      43.2,      43.1,     0.280,     0.280,     0.280,     0.281,     0.280,      6096,     12192,      6096,     24384,     48768,      0.24,      0.20,      0.30,      0.08,      0.30,     266.5,     429.6,     312.3,     332.0,    1340.4,     245.9,     374.1,     288.2,     308.4,    1216.6,       7.0,      31.2,      10.1,       6.8,      55.1,       9.8,      18.0,      10.2,      10.5,      48.5,       3.6,       6.2,       3.8,       6.2,      19.8,     31.02,      6.18,      9.95,      7.26,      7.69,     31.08,     0.009,     0.015,     0.021,     0.004,     0.049
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       3.0,       3.9,Principal Arterial,       996,    1283.2,    2541.7,    1710.2,    2202.3,    7737.4,      43.2,      42.8,      43.0,      42.8,      43.2,      43.0,     1.829,     1.843,     1.835,     1.844,     1.829,      8898,     17796,      8898,     35592,     71184,      0.25,      0.22,      0.30,      0.09,      0.30,    1688.7,    3344.9,    2250.6,    2898.3,   10182.5,    1566.9,    2955.4,    2093.0,    2736.9,    9352.2,      50.0,     257.2,      79.3,      73.2,     459.7,      60.0,     107.6,      61.2,      60.4,     289.2,      11.8,      24.8,      17.1,      27.8,      81.5,    235.83,     39.41,     77.72,     52.55,     67.13,    236.81,     0.303,     0.252,     0.437,     0.003,     0.995
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       3.0,       0.7,Principal Arterial,       996,    2993.6,    5848.9,    4128.6,    5177.1,   18148.2,      43.2,      40.0,      42.3,      41.4,      43.2,      41.9,     0.346,     0.375,     0.354,     0.362,     0.347,      8898,     17796,      8898,     35592,     71184,      0.67,      0.51,      0.61,      0.20,      0.67,     747.4,    1460.3,    1030.8,    1292.6,    4531.1,     706.8,    1324.7,     972.2,    1240.6,    4244.3,      17.0,      90.3,      30.7,      26.4,     164.4,      21.4,      40.2,      24.5,      19.8,     105.9,       2.2,       5.0,       3.2,       5.7,      16.1,    104.79,     18.69,     34.54,     24.91,     29.91,    108.05,     1.431,     0.777,     1.065,     0.009,     3.282
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       3.0,       2.8,Principal Arterial,       996,    3047.6,    5942.1,    4128.5,    5258.7,   18376.9,      43.2,      41.4,      42.4,      39.9,      43.2,      41.9,     1.275,     1.331,     1.300,     1.380,     1.276,      8953,     17905,      8953,     35810,     71620,      0.35,      0.48,      0.77,      0.24,      0.77,    2798.7,    5456.9,    3791.4,    4829.3,   16876.3,    2651.5,    4946.2,    3575.0,    4628.4,   15801.1,      60.9,     343.1,     114.1,     105.3,     623.4,      78.2,     149.2,      90.3,      74.5,     392.2,       8.3,      18.4,      11.9,      21.1,      59.7,    390.57,     67.55,    128.74,     94.93,    111.85,    403.07,     2.826,     2.448,     7.185,     0.088,    12.547
